Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-18T15:04:13.121;599616060438165038;0.0;186
2024-05-18T15:04:13.128;599616060445858012;7.692974;1118
2024-05-18T15:04:13.136;599616060453550986;15.385948;2751
2024-05-18T15:04:13.144;599616060461243960;23.078922;3979
2024-05-18T15:04:13.151;599616060468936934;30.771896;4642
2024-05-18T15:04:13.159;599616060476629908;38.46487;5352
2024-05-18T15:04:13.167;599616060484322882;46.157845;6072
2024-05-18T15:04:13.174;599616060492015856;53.850815;6622
2024-05-18T15:04:13.182;599616060499708830;61.543793;7129
2024-05-18T15:04:13.190;599616060507401804;69.23677;7615
2024-05-18T15:04:13.197;599616060515094778;76.92974;7993
2024-05-18T15:04:13.205;599616060522787752;84.62271;8356
2024-05-18T15:04:13.213;599616060530480726;92.31569;8788
2024-05-18T15:04:13.221;599616060538173700;100.00867;9173
2024-05-18T15:04:13.228;599616060545866674;107.70163;9489
2024-05-18T15:04:13.236;599616060553559648;115.39461;9831
2024-05-18T15:04:13.244;599616060561252622;123.087585;10157
2024-05-18T15:04:13.251;599616060568945596;130.78056;10417
2024-05-18T15:04:13.259;599616060576638570;138.47354;10643
2024-05-18T15:04:13.267;599616060584331544;146.16652;10910
2024-05-18T15:04:13.274;599616060592024518;153.85948;11231
2024-05-18T15:04:13.282;599616060599717492;161.55244;11469
2024-05-18T15:04:13.290;599616060607410466;169.24542;11580
2024-05-18T15:04:13.297;599616060615103440;176.9384;11783
2024-05-18T15:04:13.305;599616060622796414;184.63138;12132
2024-05-18T15:04:13.313;599616060630489388;192.32436;12342
2024-05-18T15:04:13.321;599616060638182362;200.01733;12364
2024-05-18T15:04:13.328;599616060645875336;207.7103;12486
2024-05-18T15:04:13.336;599616060653568310;215.40326;12791
2024-05-18T15:04:13.344;599616060661261284;223.09624;13194
2024-05-18T15:04:13.351;599616060668954258;230.78922;13622
2024-05-18T15:04:13.359;599616060676647232;238.4822;13787
2024-05-18T15:04:13.367;599616060684340206;246.17517;13541
2024-05-18T15:04:13.374;599616060692033180;253.86815;13237
2024-05-18T15:04:13.382;599616060699726154;261.56113;13237
2024-05-18T15:04:13.390;599616060707419128;269.2541;13412
2024-05-18T15:04:13.397;599616060715112102;276.94708;13513
2024-05-18T15:04:13.405;599616060722805076;284.64005;13553
2024-05-18T15:04:13.413;599616060730498050;292.33304;13723
2024-05-18T15:04:13.421;599616060738191024;300.02597;13945
2024-05-18T15:04:13.428;599616060745883998;307.71896;13865
2024-05-18T15:04:13.436;599616060753576972;315.41193;13657
2024-05-18T15:04:13.444;599616060761269946;323.1049;13699
2024-05-18T15:04:13.451;599616060768962920;330.79788;13869
2024-05-18T15:04:13.459;599616060776655894;338.49084;13964
2024-05-18T15:04:13.467;599616060784348868;346.18384;13947
2024-05-18T15:04:13.474;599616060792041842;353.8768;13964
2024-05-18T15:04:13.482;599616060799734816;361.5698;14096
2024-05-18T15:04:13.490;599616060807427790;369.26276;14115
2024-05-18T15:04:13.497;599616060815120764;376.95572;14044
2024-05-18T15:04:13.505;599616060822813738;384.6487;14061
2024-05-18T15:04:13.513;599616060830506712;392.34167;14032
2024-05-18T15:04:13.521;599616060838199686;400.03467;13909
2024-05-18T15:04:13.528;599616060845892660;407.72763;13813
2024-05-18T15:04:13.536;599616060853585634;415.4206;13806
2024-05-18T15:04:13.544;599616060861278608;423.11356;13860
2024-05-18T15:04:13.551;599616060868971582;430.80652;13881
2024-05-18T15:04:13.559;599616060876664556;438.4995;13791
2024-05-18T15:04:13.567;599616060884357530;446.19247;13688
2024-05-18T15:04:13.574;599616060892050504;453.88547;13690
2024-05-18T15:04:13.582;599616060899743478;461.57843;13671
2024-05-18T15:04:13.590;599616060907436452;469.27142;13560
2024-05-18T15:04:13.597;599616060915129426;476.9644;13539
2024-05-18T15:04:13.605;599616060922822400;484.65738;13558
2024-05-18T15:04:13.613;599616060930515374;492.35034;13404
2024-05-18T15:04:13.621;599616060938208348;500.0433;13227
2024-05-18T15:04:13.628;599616060945901322;507.7363;13211
2024-05-18T15:04:13.636;599616060953594296;515.42926;13258
2024-05-18T15:04:13.644;599616060961287270;523.12225;13343
2024-05-18T15:04:13.651;599616060968980244;530.8152;13275
2024-05-18T15:04:13.659;599616060976673218;538.5082;12925
2024-05-18T15:04:13.667;599616060984366192;546.2012;12758
2024-05-18T15:04:13.674;599616060992059166;553.89417;12708
2024-05-18T15:04:13.682;599616060999777244;561.61224;12508
2024-05-18T15:04:13.690;599616061007469870;569.3048;12489
2024-05-18T15:04:13.697;599616061015162496;576.99744;12560
2024-05-18T15:04:13.705;599616061022855122;584.6901;12385
2024-05-18T15:04:13.713;599616061030547748;592.3827;12217
2024-05-18T15:04:13.721;599616061038240374;600.0753;12239
2024-05-18T15:04:13.728;599616061045933000;607.76794;12222
2024-05-18T15:04:13.736;599616061053625626;615.46063;12116
2024-05-18T15:04:13.744;599616061061318252;623.1532;12031
2024-05-18T15:04:13.751;599616061069010878;630.8458;12040
2024-05-18T15:04:13.759;599616061076703504;638.5385;12021
2024-05-18T15:04:13.767;599616061084396130;646.2311;11755
2024-05-18T15:04:13.774;599616061092088756;653.9237;11514
2024-05-18T15:04:13.782;599616061099781382;661.61633;11564
2024-05-18T15:04:13.790;599616061107474008;669.309;11549
2024-05-18T15:04:13.798;599616061115166634;677.0016;11316
2024-05-18T15:04:13.805;599616061122859260;684.6942;11195
2024-05-18T15:04:13.813;599616061130551886;692.38684;11214
2024-05-18T15:04:13.821;599616061138244512;700.07947;11151
2024-05-18T15:04:13.828;599616061145937138;707.7721;11054
2024-05-18T15:04:13.836;599616061153629764;715.4647;11000
2024-05-18T15:04:13.844;599616061161322390;723.15735;10912
2024-05-18T15:04:13.851;599616061169015016;730.85;10787
2024-05-18T15:04:13.859;599616061176707642;738.5426;10674
2024-05-18T15:04:13.867;599616061184400268;746.2352;10617
2024-05-18T15:04:13.874;599616061192092894;753.92786;10622
2024-05-18T15:04:13.882;599616061199785520;761.6205;10535
2024-05-18T15:04:13.890;599616061207478146;769.3131;10325
2024-05-18T15:04:13.898;599616061215170772;777.00574;10207
2024-05-18T15:04:13.905;599616061222863398;784.69836;10235
2024-05-18T15:04:13.913;599616061230556024;792.391;10207
2024-05-18T15:04:13.921;599616061238248650;800.08356;10030
2024-05-18T15:04:13.928;599616061245941276;807.77625;9862
2024-05-18T15:04:13.936;599616061253633902;815.4689;9775
2024-05-18T15:04:13.944;599616061261326528;823.1615;9657
2024-05-18T15:04:13.951;599616061269019154;830.8541;9534
2024-05-18T15:04:13.959;599616061276711780;838.54675;9489
2024-05-18T15:04:13.967;599616061284404406;846.2394;9463
2024-05-18T15:04:13.974;599616061292097032;853.93195;9348
2024-05-18T15:04:13.982;599616061299789658;861.62463;9182
2024-05-18T15:04:13.990;599616061307482284;869.31726;9104
2024-05-18T15:04:13.998;599616061315174910;877.0098;9067
2024-05-18T15:04:14.005;599616061322867536;884.7025;8949
2024-05-18T15:04:14.013;599616061330560162;892.39514;8838
