Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-03T09:57:09.673;599616075800426558;0.0;4754
2024-05-03T09:57:09.680;599616075808118348;7.69179;5605
2024-05-03T09:57:09.688;599616075815810138;15.38358;6601
2024-05-03T09:57:09.696;599616075823501928;23.07537;7440
2024-05-03T09:57:09.703;599616075831193718;30.76716;8060
2024-05-03T09:57:09.711;599616075838885508;38.458954;8799
2024-05-03T09:57:09.719;599616075846577298;46.15074;9424
2024-05-03T09:57:09.726;599616075854269088;53.84253;9747
2024-05-03T09:57:09.734;599616075861960878;61.53432;10189
2024-05-03T09:57:09.742;599616075869652668;69.22611;10774
2024-05-03T09:57:09.749;599616075877344458;76.91791;11130
2024-05-03T09:57:09.757;599616075885036248;84.60969;11375
2024-05-03T09:57:09.765;599616075892728038;92.30148;11753
2024-05-03T09:57:09.772;599616075900419828;99.99327;12166
2024-05-03T09:57:09.780;599616075908111618;107.68506;12470
2024-05-03T09:57:09.788;599616075915803408;115.37685;12696
2024-05-03T09:57:09.796;599616075923495198;123.06864;12934
2024-05-03T09:57:09.803;599616075931186988;130.76044;13209
2024-05-03T09:57:09.811;599616075938878778;138.45222;13421
2024-05-03T09:57:09.819;599616075946570568;146.14401;13571
2024-05-03T09:57:09.826;599616075954262358;153.83582;13822
2024-05-03T09:57:09.834;599616075961954148;161.52759;14074
2024-05-03T09:57:09.842;599616075969645938;169.21938;14122
2024-05-03T09:57:09.849;599616075977337728;176.91116;14155
2024-05-03T09:57:09.857;599616075985029518;184.60297;14367
2024-05-03T09:57:09.865;599616075992721308;192.29475;14595
2024-05-03T09:57:09.872;599616076000413098;199.98654;14804
2024-05-03T09:57:09.880;599616076008104888;207.67833;14982
2024-05-03T09:57:09.888;599616076015796678;215.37012;14965
2024-05-03T09:57:09.896;599616076023488468;223.0619;14937
2024-05-03T09:57:09.903;599616076031180258;230.7537;15022
2024-05-03T09:57:09.911;599616076038872048;238.4455;15068
2024-05-03T09:57:09.919;599616076046563838;246.13728;15217
2024-05-03T09:57:09.926;599616076054255628;253.82907;15396
2024-05-03T09:57:09.934;599616076061947418;261.52087;15310
2024-05-03T09:57:09.942;599616076069639208;269.21265;15241
2024-05-03T09:57:09.949;599616076077330998;276.90445;15424
2024-05-03T09:57:09.957;599616076085022788;284.59622;15524
2024-05-03T09:57:09.965;599616076092714578;292.28802;15519
2024-05-03T09:57:09.972;599616076100406368;299.9798;15657
2024-05-03T09:57:09.980;599616076108098158;307.67163;15719
2024-05-03T09:57:09.988;599616076115789948;315.3634;15560
2024-05-03T09:57:09.996;599616076123481738;323.05518;15445
2024-05-03T09:57:10.003;599616076131173528;330.74698;15483
2024-05-03T09:57:10.011;599616076138865318;338.43875;15647
2024-05-03T09:57:10.019;599616076146557108;346.13055;15762
2024-05-03T09:57:10.026;599616076154248898;353.82233;15564
2024-05-03T09:57:10.034;599616076161940688;361.51413;15436
2024-05-03T09:57:10.042;599616076169632478;369.20593;15583
2024-05-03T09:57:10.049;599616076177324268;376.8977;15481
2024-05-03T09:57:10.057;599616076185016058;384.5895;15239
2024-05-03T09:57:10.065;599616076192707848;392.28128;15251
2024-05-03T09:57:10.072;599616076200399638;399.97308;15241
2024-05-03T09:57:10.080;599616076208091428;407.66486;15080
2024-05-03T09:57:10.088;599616076215783218;415.35666;14970
2024-05-03T09:57:10.096;599616076223475008;423.04846;14973
