Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-24T23:33:33.830;599617056253911980;0.0;5487
2024-05-24T23:33:33.837;599617056261604327;7.692347;6403
2024-05-24T23:33:33.845;599617056269296674;15.384694;7025
2024-05-24T23:33:33.853;599617056276989021;23.07704;7480
2024-05-24T23:33:33.860;599617056284681368;30.769388;8099
2024-05-24T23:33:33.868;599617056292373715;38.461735;8636
2024-05-24T23:33:33.876;599617056300066062;46.15408;9037
2024-05-24T23:33:33.883;599617056307758409;53.846428;9515
2024-05-24T23:33:33.891;599617056315450756;61.538776;10045
2024-05-24T23:33:33.899;599617056323143103;69.23112;10439
2024-05-24T23:33:33.906;599617056330835450;76.92347;10736
2024-05-24T23:33:33.914;599617056338527797;84.615814;11120
2024-05-24T23:33:33.922;599617056346220144;92.30816;11544
2024-05-24T23:33:33.930;599617056353912491;100.00051;11852
2024-05-24T23:33:33.937;599617056361604838;107.692856;12135
2024-05-24T23:33:33.945;599617056369297185;115.38521;12472
2024-05-24T23:33:33.953;599617056376989532;123.07755;12755
2024-05-24T23:33:33.960;599617056384681879;130.7699;12953
2024-05-24T23:33:33.968;599617056392374226;138.46223;13158
2024-05-24T23:33:33.976;599617056400066573;146.15459;13440
2024-05-24T23:33:33.983;599617056407758920;153.84694;13749
2024-05-24T23:33:33.991;599617056415451267;161.53928;13928
2024-05-24T23:33:33.999;599617056423143614;169.23163;14006
2024-05-24T23:33:34.006;599617056430835961;176.92398;14206
2024-05-24T23:33:34.014;599617056438528308;184.61632;14496
2024-05-24T23:33:34.022;599617056446220655;192.30867;14694
2024-05-24T23:33:34.030;599617056453913002;200.00102;14769
2024-05-24T23:33:34.037;599617056461605349;207.69337;14821
2024-05-24T23:33:34.045;599617056469297696;215.38571;14950
2024-05-24T23:33:34.053;599617056476990043;223.07806;15092
2024-05-24T23:33:34.060;599617056484682390;230.77042;15127
2024-05-24T23:33:34.068;599617056492374737;238.46275;15172
2024-05-24T23:33:34.076;599617056500067084;246.1551;15320
2024-05-24T23:33:34.083;599617056507759431;253.84746;15353
2024-05-24T23:33:34.091;599617056515451778;261.5398;15285
2024-05-24T23:33:34.099;599617056523144125;269.23215;15384
2024-05-24T23:33:34.106;599617056530836472;276.92447;15490
2024-05-24T23:33:34.114;599617056538528819;284.61682;15443
2024-05-24T23:33:34.122;599617056546221166;292.30917;15495
2024-05-24T23:33:34.130;599617056553913513;300.00153;15641
2024-05-24T23:33:34.137;599617056561605860;307.69388;15667
2024-05-24T23:33:34.145;599617056569298207;315.38623;15645
2024-05-24T23:33:34.153;599617056576990554;323.07855;15617
2024-05-24T23:33:34.160;599617056584682901;330.7709;15643
2024-05-24T23:33:34.168;599617056592375248;338.46326;15685
2024-05-24T23:33:34.176;599617056600067595;346.1556;15513
2024-05-24T23:33:34.183;599617056607759942;353.84796;15351
2024-05-24T23:33:34.191;599617056615452289;361.5403;15417
2024-05-24T23:33:34.199;599617056623144636;369.23264;15391
2024-05-24T23:33:34.206;599617056630836983;376.925;15224
2024-05-24T23:33:34.214;599617056638529330;384.61734;15250
2024-05-24T23:33:34.222;599617056646221677;392.3097;15471
2024-05-24T23:33:34.230;599617056653914024;400.00204;15723
2024-05-24T23:33:34.237;599617056661606371;407.6944;16001
2024-05-24T23:33:34.245;599617056669298718;415.38675;15985
2024-05-24T23:33:34.253;599617056676991065;423.07907;15410
2024-05-24T23:33:34.260;599617056684683412;430.77142;14875
2024-05-24T23:33:34.268;599617056692375759;438.46378;14957
2024-05-24T23:33:34.276;599617056700068106;446.15613;15096
2024-05-24T23:33:34.283;599617056707760453;453.84848;14703
2024-05-24T23:33:34.291;599617056715452800;461.54083;14234
2024-05-24T23:33:34.299;599617056723145147;469.23315;14199
2024-05-24T23:33:34.306;599617056730837494;476.9255;14300
2024-05-24T23:33:34.314;599617056738529841;484.61786;14206
2024-05-24T23:33:34.322;599617056746222188;492.3102;14010
2024-05-24T23:33:34.330;599617056753914535;500.00256;13911
2024-05-24T23:33:34.337;599617056761606882;507.69492;13921
2024-05-24T23:33:34.345;599617056769299229;515.38727;13890
2024-05-24T23:33:34.353;599617056776991576;523.0796;13791
