Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-26T22:32:15.784;599617508913529876;0.0;3409
2024-05-26T22:32:15.791;599617508921221666;7.69179;4117
2024-05-26T22:32:15.799;599617508928913456;15.38358;4930
2024-05-26T22:32:15.807;599617508936605246;23.07537;5596
2024-05-26T22:32:15.814;599617508944297036;30.76716;6168
2024-05-26T22:32:15.822;599617508951988826;38.458954;6805
2024-05-26T22:32:15.830;599617508959680616;46.15074;7371
2024-05-26T22:32:15.837;599617508967372406;53.84253;7835
2024-05-26T22:32:15.845;599617508975064196;61.53432;8370
2024-05-26T22:32:15.853;599617508982755986;69.22611;8903
2024-05-26T22:32:15.860;599617508990447776;76.91791;9293
2024-05-26T22:32:15.868;599617508998139566;84.60969;9655
2024-05-26T22:32:15.876;599617509005831356;92.30148;10101
2024-05-26T22:32:15.883;599617509013523146;99.99327;10531
2024-05-26T22:32:15.891;599617509021214936;107.68506;10881
2024-05-26T22:32:15.899;599617509028906726;115.37685;11194
2024-05-26T22:32:15.907;599617509036598516;123.06864;11521
2024-05-26T22:32:15.914;599617509044290306;130.76044;11864
2024-05-26T22:32:15.922;599617509051982096;138.45222;12138
2024-05-26T22:32:15.930;599617509059673886;146.14401;12395
2024-05-26T22:32:15.937;599617509067365676;153.83582;12794
2024-05-26T22:32:15.945;599617509075057466;161.52759;13102
2024-05-26T22:32:15.953;599617509082749256;169.21938;13123
2024-05-26T22:32:15.960;599617509090441046;176.91116;13221
2024-05-26T22:32:15.968;599617509098132836;184.60297;13516
2024-05-26T22:32:15.976;599617509105824626;192.29475;13803
2024-05-26T22:32:15.983;599617509113516416;199.98654;14025
2024-05-26T22:32:15.991;599617509121208206;207.67833;14058
2024-05-26T22:32:15.999;599617509128899996;215.37012;14065
2024-05-26T22:32:16.007;599617509136591786;223.0619;14286
2024-05-26T22:32:16.014;599617509144283576;230.7537;14632
2024-05-26T22:32:16.022;599617509151975366;238.4455;15127
2024-05-26T22:32:16.030;599617509159667156;246.13728;15611
2024-05-26T22:32:16.037;599617509167358946;253.82907;15445
2024-05-26T22:32:16.045;599617509175050736;261.52087;14791
2024-05-26T22:32:16.053;599617509182742526;269.21265;14683
2024-05-26T22:32:16.060;599617509190434316;276.90445;15081
2024-05-26T22:32:16.068;599617509198126106;284.59622;15102
2024-05-26T22:32:16.076;599617509205817896;292.28802;14961
2024-05-26T22:32:16.083;599617509213509686;299.9798;15099
2024-05-26T22:32:16.091;599617509221201476;307.67163;15116
2024-05-26T22:32:16.099;599617509228893266;315.3634;14964
2024-05-26T22:32:16.107;599617509236585056;323.05518;14952
2024-05-26T22:32:16.114;599617509244276846;330.74698;15027
2024-05-26T22:32:16.122;599617509251968636;338.43875;15109
2024-05-26T22:32:16.130;599617509259660426;346.13055;15109
2024-05-26T22:32:16.137;599617509267352216;353.82233;14975
2024-05-26T22:32:16.145;599617509275044006;361.51413;14950
2024-05-26T22:32:16.153;599617509282735796;369.20593;15048
2024-05-26T22:32:16.160;599617509290427586;376.8977;15020
2024-05-26T22:32:16.168;599617509298119376;384.5895;14938
