Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-05-26T22:28:21.578;599617274700250214;0.0;58
2024-05-26T22:28:21.585;599617274707942352;7.692138;532
2024-05-26T22:28:21.593;599617274715634490;15.384276;1613
2024-05-26T22:28:21.601;599617274723326628;23.076414;2671
2024-05-26T22:28:21.608;599617274731018766;30.768553;3400
2024-05-26T22:28:21.616;599617274738710904;38.46069;4134
2024-05-26T22:28:21.624;599617274746403042;46.15283;4876
2024-05-26T22:28:21.631;599617274754095180;53.844967;5509
2024-05-26T22:28:21.639;599617274761787318;61.537106;6187
2024-05-26T22:28:21.647;599617274769479456;69.22924;6841
2024-05-26T22:28:21.654;599617274777171594;76.92138;7263
2024-05-26T22:28:21.662;599617274784863732;84.61352;7670
2024-05-26T22:28:21.670;599617274792555870;92.30566;8226
2024-05-26T22:28:21.677;599617274800248008;99.997795;8735
2024-05-26T22:28:21.685;599617274807940146;107.68993;9141
2024-05-26T22:28:21.693;599617274815632284;115.38207;9554
2024-05-26T22:28:21.701;599617274823324422;123.07421;9968
2024-05-26T22:28:21.708;599617274831016560;130.76634;10328
2024-05-26T22:28:21.716;599617274838708698;138.45848;10634
2024-05-26T22:28:21.724;599617274846400836;146.15062;10970
2024-05-26T22:28:21.731;599617274854092974;153.84276;11360
2024-05-26T22:28:21.739;599617274861785112;161.5349;11640
2024-05-26T22:28:21.747;599617274869477250;169.22704;11787
2024-05-26T22:28:21.754;599617274877169388;176.91917;12145
2024-05-26T22:28:21.762;599617274884861526;184.61131;12859
2024-05-26T22:28:21.770;599617274892553664;192.30345;13614
2024-05-26T22:28:21.777;599617274900245802;199.99559;13885
2024-05-26T22:28:21.785;599617274907937940;207.68773;13460
2024-05-26T22:28:21.793;599617274915630078;215.37987;13042
2024-05-26T22:28:21.801;599617274923322216;223.072;13224
2024-05-26T22:28:21.808;599617274931014354;230.76414;13488
2024-05-26T22:28:21.816;599617274938706492;238.45627;13562
2024-05-26T22:28:21.824;599617274946398630;246.14842;13768
2024-05-26T22:28:21.831;599617274954090768;253.84056;13943
