Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-11T14:56:56.567;538633626556039371;170831;146334;232557;-85915;
2024-05-11T14:56:56.585;538633626574203791;170640;146140;232288;-85933;
2024-05-11T14:56:56.603;538633626592368211;170492;145914;232088;-85948;
2024-05-11T14:56:56.621;538633626610532631;170314;145809;231907;-85868;
2024-05-11T14:56:56.639;538633626628697051;170272;145718;231814;-85934;
2024-05-11T14:56:56.657;538633626646861471;170200;145636;231663;-85922;
2024-05-11T14:56:56.675;538633626665025891;170172;145575;231669;-85893;
2024-05-11T14:56:56.694;538633626683190311;170185;145535;231619;-85944;
2024-05-11T14:56:56.712;538633626701354731;170128;145500;231557;-85925;
2024-05-11T14:56:56.730;538633626719519151;170108;145450;231471;-85926;
2024-05-11T14:56:56.748;538633626737683571;170098;145350;231420;-85920;
2024-05-11T14:56:56.766;538633626755847991;170079;145347;231358;-85957;
2024-05-11T14:56:56.784;538633626774012411;170133;145365;231387;-85955;
2024-05-11T14:56:56.803;538633626792176831;170145;145277;231373;-85932;
2024-05-11T14:56:56.821;538633626810341251;170113;145283;231351;-85881;
2024-05-11T14:56:56.839;538633626828505671;170098;145251;231306;-85958;
2024-05-11T14:56:56.857;538633626846670091;170075;145191;231236;-85916;
2024-05-11T14:56:56.875;538633626864834511;170064;145086;231209;-85934;
2024-05-11T14:56:56.893;538633626882998931;170067;145058;231200;-85923;
2024-05-11T14:56:56.912;538633626901163351;170062;145060;231223;-85906;
2024-05-11T14:56:56.930;538633626919327771;170052;145022;231207;-85950;
2024-05-11T14:56:56.948;538633626937492191;170080;144984;231206;-85906;
2024-05-11T14:56:56.966;538633626955656611;170091;145007;231276;-85918;
2024-05-11T14:56:56.984;538633626973821031;170179;144997;231306;-85888;
2024-05-11T14:56:57.002;538633626991985451;170228;144983;231359;-85913;
2024-05-11T14:56:57.021;538633627010149871;170204;144956;231408;-85915;
2024-05-11T14:56:57.039;538633627028314291;170262;144953;231425;-85907;
2024-05-11T14:56:57.057;538633627046478711;170335;145007;231471;-85923;
2024-05-11T14:56:57.075;538633627064643131;170441;145051;231589;-85858;
2024-05-11T14:56:57.093;538633627082807551;170442;145040;231610;-85888;
2024-05-11T14:56:57.111;538633627100971971;170598;145099;231757;-85846;
2024-05-11T14:56:57.130;538633627119136391;170639;145147;231774;-85882;
2024-05-11T14:56:57.148;538633627137300811;170711;145206;231835;-85892;
2024-05-11T14:56:57.166;538633627155465231;170780;145274;231915;-85861;
2024-05-11T14:56:57.184;538633627173629651;170832;145260;231948;-85902;
2024-05-11T14:56:57.202;538633627191794071;170924;145264;232036;-85870;
2024-05-11T14:56:57.220;538633627209958491;170984;145357;232167;-85873;
2024-05-11T14:56:57.239;538633627228122911;171059;145346;232261;-85813;
2024-05-11T14:56:57.257;538633627246287331;171087;145308;232244;-85874;
2024-05-11T14:56:57.275;538633627264451751;170869;145228;232051;-85878;
2024-05-11T14:56:57.293;538633627282616171;170746;145045;231867;-85840;
2024-05-11T14:56:57.311;538633627300780591;170537;144913;231666;-85827;
2024-05-11T14:56:57.329;538633627318945011;170376;144765;231458;-85833;
2024-05-11T14:56:57.348;538633627337109432;170196;144646;231262;-85867;
2024-05-11T14:56:57.366;538633627355273852;170086;144495;231125;-85847;
2024-05-11T14:56:57.384;538633627373438272;170074;144454;231090;-85893;
2024-05-11T14:56:57.402;538633627391602692;170003;144329;230933;-85929;
2024-05-11T14:56:57.420;538633627409767112;170022;144298;230992;-85898;
2024-05-11T14:56:57.438;538633627427931532;169959;144278;230849;-85859;
2024-05-11T14:56:57.457;538633627446095952;169920;144192;230791;-85871;
2024-05-11T14:56:57.475;538633627464260372;169827;144078;230716;-85903;
2024-05-11T14:56:57.493;538633627482424792;169826;144076;230646;-85915;
2024-05-11T14:56:57.511;538633627500589212;169811;144149;230621;-85876;
2024-05-11T14:56:57.529;538633627518753632;169811;144059;230608;-85880;
2024-05-11T14:56:57.547;538633627536918052;169791;144022;230548;-85875;
2024-05-11T14:56:57.566;538633627555082472;169798;144062;230630;-85866;
2024-05-11T14:56:57.584;538633627573246892;169716;143982;230542;-85884;
2024-05-11T14:56:57.602;538633627591411312;169731;144020;230557;-85846;
2024-05-11T14:56:57.620;538633627609575732;169666;143923;230489;-85902;
2024-05-11T14:56:57.638;538633627627740152;169731;143949;230524;-85882;
2024-05-11T14:56:57.656;538633627645904572;169698;143920;230483;-85892;
2024-05-11T14:56:57.675;538633627664068992;169735;143895;230580;-85884;
2024-05-11T14:56:57.693;538633627682233412;169810;143954;230645;-85863;
2024-05-11T14:56:57.711;538633627700397832;169831;143932;230714;-85838;
2024-05-11T14:56:57.729;538633627718562252;169899;143992;230738;-85870;
2024-05-11T14:56:57.747;538633627736726672;169993;144031;230853;-85868;
2024-05-11T14:56:57.765;538633627754891092;170053;144067;230916;-85857;
2024-05-11T14:56:57.784;538633627773055512;170076;144047;230973;-85917;
2024-05-11T14:56:57.802;538633627791219932;170111;144103;231011;-85886;
2024-05-11T14:56:57.820;538633627809384352;170169;144187;231137;-85863;
2024-05-11T14:56:57.838;538633627827548772;170235;144191;231201;-85890;
2024-05-11T14:56:57.856;538633627845713192;170323;144264;231320;-85915;
2024-05-11T14:56:57.874;538633627863877612;170387;144230;231326;-85897;
2024-05-11T14:56:57.893;538633627882042032;170449;144298;231419;-85857;
2024-05-11T14:56:57.911;538633627900206452;170600;144390;231585;-85854;
2024-05-11T14:56:57.929;538633627918370872;170738;144498;231660;-85873;
2024-05-11T14:56:57.947;538633627936535292;170814;144524;231846;-85848;
2024-05-11T14:56:57.965;538633627954699712;170899;144551;231944;-85861;
2024-05-11T14:56:57.983;538633627972864132;170904;144589;231904;-85889;
2024-05-11T14:56:58.001;538633627991028552;170876;144576;231838;-85866;
2024-05-11T14:56:58.020;538633628009192972;170748;144461;231757;-85885;
2024-05-11T14:56:58.038;538633628027357392;170574;144349;231542;-85861;
2024-05-11T14:56:58.056;538633628045521812;170392;144206;231384;-85845;
2024-05-11T14:56:58.074;538633628063686232;170187;144043;231176;-85822;
2024-05-11T14:56:58.092;538633628081850652;170046;143899;231055;-85857;
2024-05-11T14:56:58.110;538633628100015072;169973;143807;230961;-85858;
2024-05-11T14:56:58.129;538633628118178103;169913;143684;230832;-85849;
2024-05-11T14:56:58.147;538633628136341108;169848;143704;230755;-85844;
2024-05-11T14:56:58.165;538633628154504113;169797;143585;230676;-85931;
2024-05-11T14:56:58.183;538633628172667118;169715;143604;230624;-85886;
2024-05-11T14:56:58.201;538633628190830123;169643;143504;230473;-85875;
2024-05-11T14:56:58.219;538633628208993128;169676;143430;230521;-85802;
2024-05-11T14:56:58.238;538633628227156133;169581;143395;230482;-85859;
2024-05-11T14:56:58.256;538633628245319138;169589;143364;230504;-85927;
2024-05-11T14:56:58.274;538633628263482143;169586;143337;230448;-85900;
2024-05-11T14:56:58.292;538633628281645148;169574;143277;230476;-85923;
2024-05-11T14:56:58.310;538633628299808153;169525;143315;230418;-85926;
2024-05-11T14:56:58.328;538633628317971158;169476;143227;230391;-85870;
2024-05-11T14:56:58.347;538633628336134163;169543;143311;230402;-85879;
2024-05-11T14:56:58.365;538633628354297168;169538;143269;230348;-85857;
2024-05-11T14:56:58.383;538633628372460173;169561;143227;230343;-85893;
2024-05-11T14:56:58.401;538633628390623178;169607;143240;230367;-85834;
2024-05-11T14:56:58.419;538633628408786183;169596;143216;230408;-85854;
2024-05-11T14:56:58.437;538633628426949188;169640;143267;230464;-85899;
2024-05-11T14:56:58.456;538633628445112193;169768;143257;230532;-85898;
2024-05-11T14:56:58.474;538633628463275198;169801;143343;230599;-85884;
2024-05-11T14:56:58.492;538633628481438203;169794;143438;230625;-85856;
2024-05-11T14:56:58.510;538633628499601208;169899;143420;230711;-85856;
2024-05-11T14:56:58.528;538633628517764213;170044;143559;230841;-85879;
2024-05-11T14:56:58.546;538633628535927218;170107;143553;230873;-85885;
2024-05-11T14:56:58.565;538633628554090223;170173;143651;230958;-85868;
2024-05-11T14:56:58.583;538633628572253228;170289;143702;230999;-85858;
2024-05-11T14:56:58.601;538633628590416233;170379;143748;231101;-85922;
2024-05-11T14:56:58.619;538633628608579238;170486;143878;231131;-85908;
2024-05-11T14:56:58.637;538633628626742243;170618;143930;231280;-85896;
2024-05-11T14:56:58.655;538633628644905248;170679;144022;231348;-85937;
2024-05-11T14:56:58.674;538633628663068253;170772;144101;231489;-85922;
2024-05-11T14:56:58.692;538633628681231258;170912;144191;231601;-85875;
2024-05-11T14:56:58.710;538633628699394263;170990;144248;231799;-85963;
2024-05-11T14:56:58.728;538633628717557268;171131;144382;231960;-85927;
2024-05-11T14:56:58.746;538633628735720273;171277;144500;232099;-85895;
2024-05-11T14:56:58.764;538633628753883278;171388;144555;232213;-85907;
2024-05-11T14:56:58.783;538633628772046283;171487;144696;232381;-85884;
2024-05-11T14:56:58.801;538633628790209288;171488;144707;232367;-85915;
2024-05-11T14:56:58.819;538633628808372293;171370;144627;232231;-85886;
2024-05-11T14:56:58.837;538633628826535298;171267;144534;232069;-85913;
2024-05-11T14:56:58.855;538633628844698303;171188;144481;231945;-85862;
2024-05-11T14:56:58.873;538633628862861308;171070;144412;231843;-85827;
2024-05-11T14:56:58.891;538633628881024809;170938;144366;231849;-85862;
2024-05-11T14:56:58.910;538633628899188270;170940;144274;231837;-85885;
2024-05-11T14:56:58.928;538633628917351731;170949;144292;231806;-85901;
2024-05-11T14:56:58.946;538633628935515192;170929;144223;231815;-85869;
2024-05-11T14:56:58.964;538633628953678653;170921;144225;231812;-85851;
2024-05-11T14:56:58.982;538633628971842114;170938;144227;231832;-85867;
2024-05-11T14:56:59.000;538633628990005575;170952;144200;231757;-85864;
2024-05-11T14:56:59.019;538633629008169036;170901;144157;231738;-85861;
2024-05-11T14:56:59.037;538633629026332497;170946;144216;231749;-85921;
2024-05-11T14:56:59.055;538633629044495958;170935;144178;231750;-85940;
2024-05-11T14:56:59.073;538633629062659419;170971;144286;231796;-85861;
2024-05-11T14:56:59.091;538633629080822880;171007;144328;231887;-85832;
2024-05-11T14:56:59.109;538633629098986341;171027;144357;231870;-85906;
2024-05-11T14:56:59.128;538633629117149802;171030;144335;231943;-85895;
2024-05-11T14:56:59.146;538633629135313263;171064;144404;231955;-85892;
2024-05-11T14:56:59.164;538633629153476724;171098;144444;231990;-85896;
2024-05-11T14:56:59.182;538633629171640185;171148;144466;232013;-85935;
2024-05-11T14:56:59.200;538633629189803646;171188;144461;232092;-85907;
2024-05-11T14:56:59.218;538633629207967107;171248;144458;232165;-85866;
2024-05-11T14:56:59.237;538633629226130568;171308;144528;232266;-85829;
2024-05-11T14:56:59.255;538633629244294029;171325;144577;232300;-85886;
2024-05-11T14:56:59.273;538633629262457490;171470;144664;232431;-85931;
2024-05-11T14:56:59.291;538633629280620951;171517;144699;232524;-85921;
2024-05-11T14:56:59.309;538633629298784412;171584;144725;232608;-85881;
2024-05-11T14:56:59.327;538633629316947873;171678;144843;232713;-85872;
2024-05-11T14:56:59.346;538633629335111334;171741;144895;232857;-85841;
2024-05-11T14:56:59.364;538633629353274795;171875;144951;233037;-85839;
2024-05-11T14:56:59.382;538633629371438256;171991;145022;233095;-85836;
2024-05-11T14:56:59.400;538633629389601717;172041;145106;233108;-85924;
2024-05-11T14:56:59.418;538633629407765178;172104;145151;233204;-85893;
2024-05-11T14:56:59.436;538633629425928639;172185;145228;233315;-85841;
2024-05-11T14:56:59.455;538633629444092100;172314;145340;233426;-85811;
2024-05-11T14:56:59.473;538633629462255561;172420;145426;233570;-85867;
2024-05-11T14:56:59.491;538633629480419022;172469;145461;233634;-85849;
2024-05-11T14:56:59.509;538633629498582483;172573;145561;233771;-85819;
2024-05-11T14:56:59.527;538633629516745944;172689;145600;233905;-85803;
2024-05-11T14:56:59.545;538633629534909405;172755;145739;234037;-85866;
2024-05-11T14:56:59.564;538633629553072866;172814;145754;234098;-85893;
2024-05-11T14:56:59.582;538633629571236327;172738;145774;234058;-85803;
2024-05-11T14:56:59.600;538633629589399788;172584;145641;233951;-85831;
2024-05-11T14:56:59.618;538633629607563249;172510;145551;233905;-85811;
2024-05-11T14:56:59.636;538633629625726710;172333;145397;233804;-85834;
2024-05-11T14:56:59.654;538633629643890171;172309;145311;233705;-85811;
2024-05-11T14:56:59.673;538633629662054300;172250;145289;233682;-85874;
2024-05-11T14:56:59.691;538633629680218400;172253;145326;233708;-85788;
2024-05-11T14:56:59.709;538633629698382500;172191;145263;233672;-85817;
2024-05-11T14:56:59.727;538633629716546600;172248;145279;233720;-85864;
2024-05-11T14:56:59.745;538633629734710700;172251;145323;233782;-85829;
2024-05-11T14:56:59.763;538633629752874800;172266;145273;233777;-85850;
2024-05-11T14:56:59.781;538633629771038900;172305;145300;233871;-85876;
2024-05-11T14:56:59.800;538633629789203000;172305;145327;233902;-85813;
2024-05-11T14:56:59.818;538633629807367100;172340;145325;233948;-85836;
2024-05-11T14:56:59.836;538633629825531200;172386;145344;233992;-85817;
2024-05-11T14:56:59.854;538633629843695300;172382;145452;234026;-85789;
2024-05-11T14:56:59.872;538633629861859400;172371;145385;233998;-85833;
2024-05-11T14:56:59.890;538633629880023500;172380;145381;234033;-85857;
2024-05-11T14:56:59.909;538633629898187600;172413;145434;234097;-85782;
2024-05-11T14:56:59.927;538633629916351700;172441;145436;234146;-85776;
2024-05-11T14:56:59.945;538633629934515800;172514;145427;234158;-85785;
2024-05-11T14:56:59.963;538633629952679900;172453;145391;234148;-85811;
2024-05-11T14:56:59.981;538633629970844000;172484;145338;234196;-85830;
2024-05-11T14:56:59.999;538633629989008100;172501;145356;234331;-85816;
2024-05-11T14:57:00.018;538633630007172200;172549;145358;234448;-85808;
2024-05-11T14:57:00.036;538633630025336300;172537;145417;234458;-85803;
2024-05-11T14:57:00.054;538633630043500400;172616;145431;234581;-85849;
2024-05-11T14:57:00.072;538633630061664500;172676;145460;234698;-85793;
2024-05-11T14:57:00.090;538633630079828600;172678;145533;234731;-85790;
2024-05-11T14:57:00.108;538633630097992700;172782;145580;234776;-85810;
2024-05-11T14:57:00.127;538633630116156800;172839;145701;234857;-85835;
2024-05-11T14:57:00.145;538633630134320900;172892;145731;234913;-85799;
2024-05-11T14:57:00.163;538633630152485000;173000;145814;234987;-85845;
2024-05-11T14:57:00.181;538633630170649100;173034;145882;235043;-85847;
2024-05-11T14:57:00.199;538633630188813200;173138;145950;235152;-85776;
2024-05-11T14:57:00.217;538633630206977300;173181;146027;235234;-85832;
2024-05-11T14:57:00.236;538633630225141400;173284;146101;235267;-85811;
2024-05-11T14:57:00.254;538633630243305500;173389;146246;235365;-85789;
2024-05-11T14:57:00.272;538633630261469600;173505;146399;235558;-85784;
2024-05-11T14:57:00.290;538633630279633700;173517;146414;235564;-85815;
2024-05-11T14:57:00.308;538633630297797800;173508;146521;235552;-85796;
2024-05-11T14:57:00.326;538633630315961900;173420;146415;235476;-85804;
2024-05-11T14:57:00.345;538633630334126000;173351;146444;235375;-85845;
2024-05-11T14:57:00.363;538633630352290100;173271;146427;235339;-85763;
2024-05-11T14:57:00.381;538633630370454200;173224;146377;235281;-85807;
2024-05-11T14:57:00.399;538633630388618300;173192;146354;235264;-85847;
2024-05-11T14:57:00.417;538633630406782400;173249;146458;235341;-85769;
