Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-22T19:51:42.111;539601719064285647;348764;370616;288714;-1303;
2024-05-22T19:51:42.129;539601719082440876;348762;370633;288658;-1285;
2024-05-22T19:51:42.147;539601719100596105;348718;370659;288610;-1296;
2024-05-22T19:51:42.165;539601719118751334;348640;370523;288598;-1318;
2024-05-22T19:51:42.183;539601719136906563;348408;370347;288448;-1267;
2024-05-22T19:51:42.201;539601719155061792;348216;370179;288371;-1251;
2024-05-22T19:51:42.219;539601719173217021;347970;369970;288180;-1311;
2024-05-22T19:51:42.238;539601719191372250;347775;369745;288006;-1280;
2024-05-22T19:51:42.256;539601719209527479;347608;369611;287943;-1322;
2024-05-22T19:51:42.274;539601719227682708;347599;369494;287951;-1295;
2024-05-22T19:51:42.292;539601719245837937;347556;369425;287844;-1318;
2024-05-22T19:51:42.310;539601719263993166;347600;369525;287941;-1316;
2024-05-22T19:51:42.328;539601719282148395;347678;369551;287919;-1238;
2024-05-22T19:51:42.347;539601719300303624;347716;369610;288084;-1285;
2024-05-22T19:51:42.365;539601719318458853;347880;369792;288182;-1328;
2024-05-22T19:51:42.383;539601719336614082;348033;369934;288247;-1284;
2024-05-22T19:51:42.401;539601719354769311;348152;370008;288305;-1310;
2024-05-22T19:51:42.419;539601719372924540;348266;370037;288420;-1314;
2024-05-22T19:51:42.437;539601719391079769;348427;370264;288504;-1285;
2024-05-22T19:51:42.455;539601719409234998;348569;370302;288541;-1305;
2024-05-22T19:51:42.474;539601719427390227;348545;370372;288597;-1295;
2024-05-22T19:51:42.492;539601719445545456;348629;370448;288670;-1274;
2024-05-22T19:51:42.510;539601719463700685;348711;370468;288693;-1273;
2024-05-22T19:51:42.528;539601719481855914;348759;370506;288805;-1268;
2024-05-22T19:51:42.546;539601719500011143;348808;370571;288878;-1252;
2024-05-22T19:51:42.564;539601719518166372;348881;370580;288876;-1324;
2024-05-22T19:51:42.583;539601719536321601;348922;370679;288893;-1308;
2024-05-22T19:51:42.601;539601719554476830;349007;370710;288908;-1289;
2024-05-22T19:51:42.619;539601719572632059;349096;370790;288950;-1312;
2024-05-22T19:51:42.637;539601719590787288;349233;370866;289010;-1316;
2024-05-22T19:51:42.655;539601719608942517;349255;370899;289077;-1232;
2024-05-22T19:51:42.673;539601719627097746;349357;371019;289150;-1311;
2024-05-22T19:51:42.691;539601719645252975;349396;371134;289150;-1306;
2024-05-22T19:51:42.710;539601719663408204;349597;371169;289289;-1269;
2024-05-22T19:51:42.728;539601719681563433;349699;371270;289416;-1291;
2024-05-22T19:51:42.746;539601719699718662;349823;371392;289505;-1307;
2024-05-22T19:51:42.764;539601719717873891;349883;371513;289539;-1285;
2024-05-22T19:51:42.782;539601719736029120;350000;371557;289629;-1279;
2024-05-22T19:51:42.800;539601719754184349;350088;371650;289678;-1299;
2024-05-22T19:51:42.819;539601719772339578;350143;371738;289721;-1288;
2024-05-22T19:51:42.837;539601719790494807;350335;371829;289810;-1306;
2024-05-22T19:51:42.855;539601719808650036;350294;371938;289834;-1318;
2024-05-22T19:51:42.873;539601719826805272;350320;371952;289827;-1296;
2024-05-22T19:51:42.891;539601719844960501;350201;371875;289806;-1256;
2024-05-22T19:51:42.909;539601719863115730;350017;371610;289610;-1259;
2024-05-22T19:51:42.927;539601719881270959;349790;371349;289400;-1272;
2024-05-22T19:51:42.946;539601719899426188;349457;371102;289237;-1240;
2024-05-22T19:51:42.964;539601719917581417;349275;370850;289134;-1285;
2024-05-22T19:51:42.982;539601719935736646;349037;370571;288949;-1234;
