Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-18T15:10:59.487;539239274028458982;355567;340630;371563;1674;
2024-05-18T15:10:59.505;539239274046613417;355036;340152;370901;1701;
2024-05-18T15:10:59.523;539239274064767852;354471;339626;370201;1652;
2024-05-18T15:10:59.541;539239274082922287;353771;339004;369469;1660;
2024-05-18T15:10:59.559;539239274101076722;353114;338395;368624;1691;
2024-05-18T15:10:59.577;539239274119231157;352563;337780;367870;1727;
2024-05-18T15:10:59.595;539239274137385592;352070;337299;367259;1729;
2024-05-18T15:10:59.614;539239274155540027;351627;336908;366790;1769;
2024-05-18T15:10:59.632;539239274173694462;351408;336694;366408;1767;
2024-05-18T15:10:59.650;539239274191848897;351208;336517;366085;1829;
2024-05-18T15:10:59.668;539239274210003332;351156;336475;365947;1891;
2024-05-18T15:10:59.686;539239274228157767;351093;336402;365681;1863;
2024-05-18T15:10:59.704;539239274246312202;351122;336417;365582;1931;
2024-05-18T15:10:59.723;539239274264466637;351175;336546;365552;1926;
2024-05-18T15:10:59.741;539239274282621072;351203;336641;365554;1905;
2024-05-18T15:10:59.759;539239274300775507;351254;336737;365621;1949;
2024-05-18T15:10:59.777;539239274318929942;351275;336866;365763;1960;
2024-05-18T15:10:59.795;539239274337084377;351287;336989;365871;1933;
2024-05-18T15:10:59.813;539239274355238812;351355;337168;365988;2013;
2024-05-18T15:10:59.831;539239274373393247;351464;337440;366058;2010;
2024-05-18T15:10:59.850;539239274391547682;351653;337749;366386;2042;
2024-05-18T15:10:59.868;539239274409702117;351956;338010;366679;2007;
2024-05-18T15:10:59.886;539239274427856552;352131;338286;366993;2078;
2024-05-18T15:10:59.904;539239274446010987;352410;338618;367281;2037;
2024-05-18T15:10:59.922;539239274464165422;352786;339067;367680;2070;
2024-05-18T15:10:59.940;539239274482319857;353203;339479;368038;2094;
2024-05-18T15:10:59.959;539239274500474292;353606;339995;368544;2158;
2024-05-18T15:10:59.977;539239274518628727;353980;340452;369005;2168;
2024-05-18T15:10:59.995;539239274536783162;354412;340884;369506;2192;
2024-05-18T15:11:00.013;539239274554937597;354809;341333;369963;2138;
2024-05-18T15:11:00.031;539239274573092032;355144;341776;370463;2150;
2024-05-18T15:11:00.049;539239274591246467;355466;342173;370892;2085;
2024-05-18T15:11:00.067;539239274609400902;355730;342474;371231;2047;
2024-05-18T15:11:00.086;539239274627555337;355968;342773;371567;1966;
2024-05-18T15:11:00.104;539239274645709772;356140;343032;371950;1950;
2024-05-18T15:11:00.122;539239274663864223;356476;343316;372343;1925;
2024-05-18T15:11:00.140;539239274682018658;356702;343576;372757;1883;
2024-05-18T15:11:00.158;539239274700173093;357024;343923;373158;1859;
2024-05-18T15:11:00.176;539239274718327528;357252;344184;373532;1810;
2024-05-18T15:11:00.195;539239274736481963;357463;344509;373860;1776;
2024-05-18T15:11:00.213;539239274754636398;357655;344707;374186;1731;
2024-05-18T15:11:00.231;539239274772790833;357895;344970;374553;1645;
2024-05-18T15:11:00.249;539239274790945268;358110;345196;374954;1608;
2024-05-18T15:11:00.267;539239274809099703;358195;345444;375264;1557;
2024-05-18T15:11:00.285;539239274827254138;358235;345459;375316;1545;
2024-05-18T15:11:00.303;539239274845408573;358111;345408;375228;1462;
2024-05-18T15:11:00.322;539239274863563008;357801;345222;374996;1435;
2024-05-18T15:11:00.340;539239274881717443;357350;344997;374584;1448;
2024-05-18T15:11:00.358;539239274899871878;356892;344684;374106;1410;
2024-05-18T15:11:00.376;539239274918026313;356544;344379;373686;1426;
2024-05-18T15:11:00.394;539239274936180748;356202;344095;373399;1427;
2024-05-18T15:11:00.412;539239274954335183;355869;343853;373136;1393;
2024-05-18T15:11:00.431;539239274972489618;355595;343618;372905;1408;
2024-05-18T15:11:00.449;539239274990644053;355471;343563;372806;1371;
2024-05-18T15:11:00.467;539239275008798488;355358;343527;372796;1373;
2024-05-18T15:11:00.485;539239275026952923;355335;343503;372793;1333;
2024-05-18T15:11:00.503;539239275045107358;355266;343558;372781;1330;
2024-05-18T15:11:00.521;539239275063261793;355128;343559;372774;1302;
2024-05-18T15:11:00.539;539239275081416228;354982;343473;372719;1291;
2024-05-18T15:11:00.558;539239275099570663;354825;343466;372708;1300;
2024-05-18T15:11:00.576;539239275117725098;354679;343320;372590;1221;
2024-05-18T15:11:00.594;539239275135879533;354423;343178;372364;1217;
2024-05-18T15:11:00.612;539239275154033968;354056;342903;372101;1208;
2024-05-18T15:11:00.630;539239275172188403;353651;342588;371729;1140;
2024-05-18T15:11:00.648;539239275190342838;353255;342278;371422;1151;
2024-05-18T15:11:00.667;539239275208497273;352833;341958;371077;1174;
2024-05-18T15:11:00.685;539239275226651708;352318;341583;370709;1117;
2024-05-18T15:11:00.703;539239275244806143;351886;341232;370259;1102;
2024-05-18T15:11:00.721;539239275262960578;351395;340758;369693;1049;
2024-05-18T15:11:00.739;539239275281115013;350860;340333;369295;1043;
2024-05-18T15:11:00.757;539239275299269448;350333;339953;368913;1057;
2024-05-18T15:11:00.775;539239275317423883;349874;339476;368475;1037;
2024-05-18T15:11:00.794;539239275335578318;349445;339054;368048;997;
2024-05-18T15:11:00.812;539239275353732361;348887;338649;367515;1043;
2024-05-18T15:11:00.830;539239275371886374;348395;338183;367151;1016;
2024-05-18T15:11:00.848;539239275390040387;347813;337696;366702;1033;
2024-05-18T15:11:00.866;539239275408194400;347281;337272;366277;998;
2024-05-18T15:11:00.884;539239275426348413;346889;336826;365924;1007;
2024-05-18T15:11:00.903;539239275444502426;346460;336323;365552;949;
2024-05-18T15:11:00.921;539239275462656439;346034;335919;365045;979;
2024-05-18T15:11:00.939;539239275480810452;345646;335524;364638;955;
2024-05-18T15:11:00.957;539239275498964465;345319;335218;364261;1001;
