Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-03T09:57:12.222;537924437919975691;634947;633411;777335;16944;
2024-05-03T09:57:12.240;537924437938147634;635003;633426;777405;16979;
2024-05-03T09:57:12.258;537924437956319577;635183;633568;777474;16991;
2024-05-03T09:57:12.276;537924437974491520;635296;633609;777674;17066;
2024-05-03T09:57:12.294;537924437992663463;635402;633718;777692;17100;
2024-05-03T09:57:12.312;537924438010835406;635415;633767;777669;17042;
2024-05-03T09:57:12.331;537924438029007349;635428;633677;777702;17036;
2024-05-03T09:57:12.349;537924438047179292;635470;633617;777686;17045;
2024-05-03T09:57:12.367;537924438065351235;635518;633676;777696;17051;
2024-05-03T09:57:12.385;537924438083523178;635521;633668;777603;16974;
2024-05-03T09:57:12.403;537924438101695121;635608;633578;777653;16928;
2024-05-03T09:57:12.421;537924438119867064;635596;633585;777704;16958;
2024-05-03T09:57:12.440;537924438138039007;635727;633803;777774;16949;
2024-05-03T09:57:12.458;537924438156210950;635871;633860;777854;16940;
2024-05-03T09:57:12.476;537924438174382893;636057;633951;778050;16922;
2024-05-03T09:57:12.494;537924438192554836;636066;633989;778135;16946;
2024-05-03T09:57:12.512;537924438210726779;636180;634123;778275;16918;
2024-05-03T09:57:12.530;537924438228898722;636375;634325;778403;16899;
2024-05-03T09:57:12.549;537924438247070665;636507;634524;778584;16859;
2024-05-03T09:57:12.567;537924438265242608;636756;634652;778805;16895;
2024-05-03T09:57:12.585;537924438283414551;636934;634839;778952;16853;
2024-05-03T09:57:12.603;537924438301586494;637110;634967;779088;16865;
2024-05-03T09:57:12.621;537924438319758437;637264;635145;779204;16897;
2024-05-03T09:57:12.639;537924438337930380;637492;635366;779441;16921;
2024-05-03T09:57:12.658;537924438356102323;637707;635686;779747;16944;
2024-05-03T09:57:12.676;537924438374274266;637899;635849;779890;16897;
2024-05-03T09:57:12.694;537924438392446209;638125;635979;780052;16975;
2024-05-03T09:57:12.712;537924438410618152;638177;636167;780202;16955;
2024-05-03T09:57:12.730;537924438428790095;638357;636339;780370;16918;
2024-05-03T09:57:12.748;537924438446962038;638647;636456;780600;16947;
2024-05-03T09:57:12.767;537924438465133981;638839;636684;780894;16893;
2024-05-03T09:57:12.785;537924438483305924;639032;636898;781016;16888;
2024-05-03T09:57:12.803;537924438501477867;639205;637025;781165;16790;
2024-05-03T09:57:12.821;537924438519649810;639386;637247;781398;16795;
2024-05-03T09:57:12.839;537924438537821753;639386;637301;781398;16811;
2024-05-03T09:57:12.858;537924438555993696;639290;637178;781240;16814;
2024-05-03T09:57:12.876;537924438574165639;639155;636876;780968;16698;
2024-05-03T09:57:12.894;537924438592337582;638933;636651;780713;16760;
2024-05-03T09:57:12.912;537924438610509525;638705;636392;780483;16747;
2024-05-03T09:57:12.930;537924438628681468;638570;636172;780171;16752;
2024-05-03T09:57:12.948;537924438646853411;638466;636019;780094;16746;
2024-05-03T09:57:12.967;537924438665025354;638347;635911;779943;16659;
2024-05-03T09:57:12.985;537924438683197301;638374;635795;779880;16717;
2024-05-03T09:57:13.003;537924438701369244;638297;635762;779839;16693;
2024-05-03T09:57:13.021;537924438719541187;638368;635752;779810;16708;
2024-05-03T09:57:13.039;537924438737713130;638391;635698;779860;16734;
2024-05-03T09:57:13.057;537924438755885073;638437;635777;779878;16764;
2024-05-03T09:57:13.076;537924438774057016;638644;635914;780015;16813;
2024-05-03T09:57:13.094;537924438792228959;638671;636035;780033;16793;
2024-05-03T09:57:13.112;537924438810400902;638732;636016;780115;16763;
2024-05-03T09:57:13.130;537924438828572845;638766;636002;780124;16748;
2024-05-03T09:57:13.148;537924438846744788;638831;635980;780136;16723;
2024-05-03T09:57:13.166;537924438864916731;638897;636032;780217;16656;
2024-05-03T09:57:13.185;537924438883088674;638932;636029;780229;16673;
2024-05-03T09:57:13.203;537924438901260617;638942;636019;780117;16675;
2024-05-03T09:57:13.221;537924438919432560;638879;636033;780033;16594;
2024-05-03T09:57:13.239;537924438937604503;638882;635999;780091;16543;
2024-05-03T09:57:13.257;537924438955776446;639033;636033;780225;16555;
2024-05-03T09:57:13.275;537924438973948389;639052;636077;780249;16505;
2024-05-03T09:57:13.294;537924438992120332;639166;636125;780393;16460;
2024-05-03T09:57:13.312;537924439010292275;639320;636278;780487;16503;
2024-05-03T09:57:13.330;537924439028464218;639457;636383;780613;16501;
2024-05-03T09:57:13.348;537924439046636161;639669;636528;780795;16517;
2024-05-03T09:57:13.366;537924439064808104;639854;636681;780837;16560;
2024-05-03T09:57:13.385;537924439082980047;640034;636872;781053;16584;
2024-05-03T09:57:13.403;537924439101151990;640175;637094;781241;16584;
2024-05-03T09:57:13.421;537924439119323933;640242;637205;781301;16559;
2024-05-03T09:57:13.439;537924439137495876;640382;637379;781482;16521;
2024-05-03T09:57:13.457;537924439155667819;640480;637367;781611;16502;
2024-05-03T09:57:13.475;537924439173839762;640613;637589;781745;16405;
2024-05-03T09:57:13.494;537924439192011705;640836;637802;781943;16500;
2024-05-03T09:57:13.512;537924439210183648;641019;637989;782054;16458;
2024-05-03T09:57:13.530;537924439228355591;641193;638133;782240;16383;
2024-05-03T09:57:13.548;537924439246527534;641283;638309;782389;16381;
2024-05-03T09:57:13.566;537924439264699477;641381;638497;782541;16350;
