Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-20T22:21:55.793;539437932132469052;400018;497501;411135;-1378;
2024-05-20T22:21:55.811;539437932150630274;400116;497613;411228;-1379;
2024-05-20T22:21:55.829;539437932168791496;400179;497673;411309;-1376;
2024-05-20T22:21:55.847;539437932186952718;400368;497856;411520;-1351;
2024-05-20T22:21:55.865;539437932205113940;400420;498037;411609;-1415;
2024-05-20T22:21:55.883;539437932223275162;400628;498191;411711;-1333;
2024-05-20T22:21:55.901;539437932241436384;400740;498350;411825;-1408;
2024-05-20T22:21:55.920;539437932259597606;400863;498535;411927;-1394;
2024-05-20T22:21:55.938;539437932277758828;401029;498672;412084;-1321;
2024-05-20T22:21:55.956;539437932295920050;401093;498754;412187;-1354;
2024-05-20T22:21:55.974;539437932314081272;401201;498951;412250;-1299;
2024-05-20T22:21:55.992;539437932332242494;401299;499033;412368;-1346;
2024-05-20T22:21:56.010;539437932350403716;401393;499137;412419;-1341;
2024-05-20T22:21:56.029;539437932368564938;401392;499201;412504;-1351;
2024-05-20T22:21:56.047;539437932386726160;401449;499320;412574;-1358;
2024-05-20T22:21:56.065;539437932404887382;401580;499450;412682;-1347;
2024-05-20T22:21:56.083;539437932423048604;401664;499543;412731;-1375;
2024-05-20T22:21:56.101;539437932441209826;401772;499646;412783;-1345;
2024-05-20T22:21:56.119;539437932459371048;401900;499792;412918;-1354;
2024-05-20T22:21:56.138;539437932477532270;401922;499951;413039;-1419;
2024-05-20T22:21:56.156;539437932495693492;402039;500023;413071;-1429;
2024-05-20T22:21:56.174;539437932513854714;401994;499969;413060;-1321;
2024-05-20T22:21:56.192;539437932532015936;401720;499653;412875;-1398;
2024-05-20T22:21:56.210;539437932550177158;401334;499257;412495;-1409;
2024-05-20T22:21:56.228;539437932568338380;400895;498688;412038;-1414;
2024-05-20T22:21:56.247;539437932586499602;400482;498166;411617;-1393;
2024-05-20T22:21:56.265;539437932604660824;400066;497589;411152;-1388;
2024-05-20T22:21:56.283;539437932622822046;399706;497101;410779;-1348;
2024-05-20T22:21:56.301;539437932640983268;399515;496828;410549;-1346;
2024-05-20T22:21:56.319;539437932659144490;399371;496592;410414;-1337;
2024-05-20T22:21:56.337;539437932677305712;399296;496519;410325;-1314;
2024-05-20T22:21:56.355;539437932695466934;399259;496428;410220;-1358;
2024-05-20T22:21:56.374;539437932713628156;399342;496463;410252;-1354;
2024-05-20T22:21:56.392;539437932731789378;399448;496581;410399;-1338;
2024-05-20T22:21:56.410;539437932749950600;399587;496772;410499;-1361;
2024-05-20T22:21:56.428;539437932768111822;399782;496960;410639;-1322;
2024-05-20T22:21:56.446;539437932786273044;399900;497155;410757;-1392;
2024-05-20T22:21:56.464;539437932804434266;400067;497385;410939;-1356;
2024-05-20T22:21:56.483;539437932822595515;400222;497537;411078;-1353;
2024-05-20T22:21:56.501;539437932840756737;400332;497731;411233;-1352;
2024-05-20T22:21:56.519;539437932858917959;400460;497802;411338;-1403;
2024-05-20T22:21:56.537;539437932877079181;400534;497994;411416;-1378;
2024-05-20T22:21:56.555;539437932895240403;400665;498133;411532;-1400;
2024-05-20T22:21:56.573;539437932913401625;400713;498248;411598;-1323;
2024-05-20T22:21:56.592;539437932931562847;400867;498364;411650;-1348;
2024-05-20T22:21:56.610;539437932949724069;400873;498521;411744;-1308;
2024-05-20T22:21:56.628;539437932967885291;401024;498592;411862;-1305;
2024-05-20T22:21:56.646;539437932986046513;401019;498699;411865;-1333;
2024-05-20T22:21:56.664;539437933004207735;401136;498761;411995;-1341;
2024-05-20T22:21:56.682;539437933022368957;401207;498911;412071;-1310;
2024-05-20T22:21:56.701;539437933040530179;401339;499030;412227;-1375;
2024-05-20T22:21:56.719;539437933058691401;401432;499188;412301;-1403;
2024-05-20T22:21:56.737;539437933076852623;401503;499229;412379;-1338;
2024-05-20T22:21:56.755;539437933095013845;401415;499286;412377;-1319;
2024-05-20T22:21:56.773;539437933113175067;401133;498914;412156;-1342;
2024-05-20T22:21:56.791;539437933131336289;400857;498513;411806;-1331;
2024-05-20T22:21:56.810;539437933149497511;400366;498042;411345;-1368;
2024-05-20T22:21:56.828;539437933167658733;399949;497447;410940;-1348;
2024-05-20T22:21:56.846;539437933185819955;399609;496974;410523;-1336;
2024-05-20T22:21:56.864;539437933203981177;399267;496507;410187;-1346;
2024-05-20T22:21:56.882;539437933222142399;399076;496317;409961;-1279;
2024-05-20T22:21:56.900;539437933240303621;398974;496104;409824;-1282;
2024-05-20T22:21:56.918;539437933258464843;398868;495985;409760;-1374;
2024-05-20T22:21:56.937;539437933276626065;398887;496033;409746;-1330;
2024-05-20T22:21:56.955;539437933294787287;399006;496156;409825;-1316;
2024-05-20T22:21:56.973;539437933312948509;399134;496257;409903;-1314;
2024-05-20T22:21:56.991;539437933331109731;399335;496434;410077;-1304;
2024-05-20T22:21:57.009;539437933349270953;399414;496612;410205;-1312;
2024-05-20T22:21:57.027;539437933367432175;399664;496818;410383;-1331;
2024-05-20T22:21:57.046;539437933385593397;399771;497081;410512;-1374;
2024-05-20T22:21:57.064;539437933403754619;399947;497261;410631;-1365;
2024-05-20T22:21:57.082;539437933421915841;400049;497423;410773;-1295;
2024-05-20T22:21:57.100;539437933440077063;400137;497564;410900;-1341;
2024-05-20T22:21:57.118;539437933458238285;400265;497711;411010;-1334;
2024-05-20T22:21:57.136;539437933476399507;400355;497813;411160;-1342;
2024-05-20T22:21:57.155;539437933494560729;400459;497986;411224;-1322;
2024-05-20T22:21:57.173;539437933512721951;400525;498093;411262;-1347;
2024-05-20T22:21:57.191;539437933530884766;400606;498225;411316;-1301;
2024-05-20T22:21:57.209;539437933549047553;400622;498350;411428;-1314;
2024-05-20T22:21:57.227;539437933567210340;400805;498483;411481;-1311;
2024-05-20T22:21:57.245;539437933585373127;400942;498618;411612;-1303;
2024-05-20T22:21:57.264;539437933603535914;400969;498747;411731;-1353;
2024-05-20T22:21:57.282;539437933621698701;401100;498892;411888;-1352;
2024-05-20T22:21:57.300;539437933639861488;401149;498998;411966;-1355;
2024-05-20T22:21:57.318;539437933658024275;401191;499135;411993;-1363;
2024-05-20T22:21:57.336;539437933676187062;401047;498997;411915;-1394;
2024-05-20T22:21:57.354;539437933694349849;400834;498720;411675;-1330;
2024-05-20T22:21:57.373;539437933712512636;400481;498259;411304;-1304;
2024-05-20T22:21:57.391;539437933730675423;400016;497702;410921;-1331;
2024-05-20T22:21:57.409;539437933748838210;399593;497229;410561;-1382;
2024-05-20T22:21:57.427;539437933767000997;399314;496813;410187;-1326;
2024-05-20T22:21:57.445;539437933785163784;399021;496477;409887;-1334;
2024-05-20T22:21:57.463;539437933803326571;398874;496112;409657;-1341;
2024-05-20T22:21:57.482;539437933821489358;398801;495989;409563;-1394;
2024-05-20T22:21:57.500;539437933839652145;398833;496014;409525;-1343;
2024-05-20T22:21:57.518;539437933857814932;398866;496112;409573;-1328;
2024-05-20T22:21:57.536;539437933875977719;399059;496209;409712;-1325;
2024-05-20T22:21:57.554;539437933894140506;399234;496475;409877;-1339;
2024-05-20T22:21:57.572;539437933912303293;399339;496593;410004;-1351;
2024-05-20T22:21:57.590;539437933930466080;399521;496842;410245;-1378;
2024-05-20T22:21:57.609;539437933948628867;399715;497011;410391;-1421;
