Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-21T21:09:37.947;539519995031785070;414981;442709;362509;-1295;
2024-05-21T21:09:37.965;539519995049942602;414674;442459;362278;-1296;
2024-05-21T21:09:37.983;539519995068100134;414659;442396;362266;-1290;
2024-05-21T21:09:38.001;539519995086257666;414806;442553;362463;-1311;
2024-05-21T21:09:38.019;539519995104415198;415142;442867;362666;-1317;
2024-05-21T21:09:38.037;539519995122572730;415488;443229;362978;-1316;
2024-05-21T21:09:38.055;539519995140730262;415905;443735;363348;-1289;
2024-05-21T21:09:38.074;539519995158887794;416319;444180;363670;-1302;
2024-05-21T21:09:38.092;539519995177045326;416721;444612;364060;-1294;
2024-05-21T21:09:38.110;539519995195202858;417095;445019;364377;-1305;
2024-05-21T21:09:38.128;539519995213360390;417362;445328;364575;-1291;
2024-05-21T21:09:38.146;539519995231517922;417659;445608;364772;-1291;
2024-05-21T21:09:38.164;539519995249675454;417819;445851;365008;-1257;
2024-05-21T21:09:38.183;539519995267832986;418029;446010;365096;-1285;
2024-05-21T21:09:38.201;539519995285990518;418097;446134;365201;-1261;
2024-05-21T21:09:38.219;539519995304148050;418245;446211;365277;-1340;
2024-05-21T21:09:38.237;539519995322305582;418279;446242;365281;-1307;
2024-05-21T21:09:38.255;539519995340463114;418332;446297;365366;-1303;
2024-05-21T21:09:38.273;539519995358620646;418438;446364;365481;-1265;
2024-05-21T21:09:38.291;539519995376778178;418386;446397;365507;-1293;
2024-05-21T21:09:38.310;539519995394935710;418236;446250;365331;-1286;
2024-05-21T21:09:38.328;539519995413093242;417786;445592;364887;-1289;
2024-05-21T21:09:38.346;539519995431250774;417093;444779;364295;-1309;
2024-05-21T21:09:38.364;539519995449408306;416283;443851;363682;-1329;
2024-05-21T21:09:38.382;539519995467565838;415462;442940;362991;-1343;
2024-05-21T21:09:38.400;539519995485723370;414745;442111;362376;-1284;
2024-05-21T21:09:38.419;539519995503880902;414203;441572;361932;-1324;
2024-05-21T21:09:38.437;539519995522038434;413922;441194;361692;-1340;
2024-05-21T21:09:38.455;539519995540195966;413797;441021;361594;-1326;
2024-05-21T21:09:38.473;539519995558353498;413851;441165;361649;-1301;
2024-05-21T21:09:38.491;539519995576511030;414097;441402;361914;-1369;
2024-05-21T21:09:38.509;539519995594668562;414517;441865;362313;-1344;
2024-05-21T21:09:38.528;539519995612826094;415024;442346;362687;-1326;
2024-05-21T21:09:38.546;539519995630983626;415491;442885;363112;-1348;
2024-05-21T21:09:38.564;539519995649141158;416084;443499;363625;-1350;
2024-05-21T21:09:38.582;539519995667298690;416627;444112;364096;-1331;
2024-05-21T21:09:38.600;539519995685456222;417196;444778;364593;-1327;
2024-05-21T21:09:38.618;539519995703613754;417646;445218;364944;-1293;
2024-05-21T21:09:38.636;539519995721771294;418102;445695;365317;-1269;
2024-05-21T21:09:38.655;539519995739928826;418532;446123;365663;-1335;
2024-05-21T21:09:38.673;539519995758086358;418889;446537;366019;-1328;
2024-05-21T21:09:38.691;539519995776243890;419260;446871;366305;-1334;
2024-05-21T21:09:38.709;539519995794401422;419608;447298;366622;-1319;
2024-05-21T21:09:38.727;539519995812558954;419944;447636;366922;-1327;
2024-05-21T21:09:38.745;539519995830716486;420236;448006;367164;-1310;
2024-05-21T21:09:38.764;539519995848874018;420577;448366;367436;-1294;
2024-05-21T21:09:38.782;539519995867031550;420915;448685;367742;-1280;
2024-05-21T21:09:38.800;539519995885189082;421108;448865;367949;-1312;
2024-05-21T21:09:38.818;539519995903346614;421058;448797;367896;-1351;
2024-05-21T21:09:38.836;539519995921504146;420764;448431;367589;-1333;
2024-05-21T21:09:38.854;539519995939661678;420344;447884;367216;-1293;
