Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-23T22:22:31.716;539697169091749998;241897;248919;182279;-1382;
2024-05-23T22:22:31.734;539697169109902846;242031;249062;182356;-1333;
2024-05-23T22:22:31.752;539697169128055694;242123;249165;182407;-1400;
2024-05-23T22:22:31.770;539697169146208542;242233;249272;182457;-1358;
2024-05-23T22:22:31.788;539697169164361390;242302;249351;182521;-1341;
2024-05-23T22:22:31.806;539697169182514238;242453;249422;182569;-1369;
2024-05-23T22:22:31.824;539697169200667086;242486;249541;182638;-1335;
2024-05-23T22:22:31.843;539697169218819934;242633;249654;182632;-1323;
2024-05-23T22:22:31.861;539697169236972782;242716;249712;182719;-1385;
2024-05-23T22:22:31.879;539697169255125630;242921;249800;182757;-1327;
2024-05-23T22:22:31.897;539697169273278478;242938;249936;182808;-1354;
2024-05-23T22:22:31.915;539697169291431326;243063;250007;182869;-1342;
2024-05-23T22:22:31.933;539697169309584174;243161;250207;183016;-1337;
2024-05-23T22:22:31.951;539697169327737022;243230;250197;183048;-1377;
2024-05-23T22:22:31.970;539697169345889870;243127;250069;182946;-1412;
2024-05-23T22:22:31.988;539697169364042718;242792;249735;182730;-1425;
2024-05-23T22:22:32.006;539697169382195566;242357;249260;182524;-1407;
2024-05-23T22:22:32.024;539697169400348414;241741;248693;182131;-1378;
2024-05-23T22:22:32.042;539697169418501262;241199;248211;181856;-1338;
2024-05-23T22:22:32.060;539697169436654110;240720;247774;181666;-1361;
2024-05-23T22:22:32.079;539697169454806958;240381;247496;181506;-1300;
2024-05-23T22:22:32.097;539697169472959806;240080;247243;181387;-1429;
2024-05-23T22:22:32.115;539697169491112654;240016;247208;181391;-1421;
2024-05-23T22:22:32.133;539697169509265502;240060;247245;181425;-1373;
2024-05-23T22:22:32.151;539697169527418350;240215;247408;181535;-1375;
2024-05-23T22:22:32.169;539697169545571198;240342;247623;181594;-1382;
2024-05-23T22:22:32.187;539697169563724046;240636;247881;181762;-1324;
2024-05-23T22:22:32.206;539697169581876894;240881;248124;181927;-1310;
2024-05-23T22:22:32.224;539697169600029742;241087;248390;182092;-1386;
2024-05-23T22:22:32.242;539697169618182590;241254;248533;182142;-1347;
2024-05-23T22:22:32.260;539697169636335438;241414;248708;182239;-1323;
2024-05-23T22:22:32.278;539697169654488286;241548;248775;182255;-1369;
2024-05-23T22:22:32.296;539697169672641134;241579;248820;182314;-1395;
2024-05-23T22:22:32.315;539697169690793982;241563;248829;182276;-1438;
2024-05-23T22:22:32.333;539697169708946830;241471;248810;182299;-1392;
2024-05-23T22:22:32.351;539697169727099678;241461;248792;182229;-1324;
