Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-14T12:14:12.564;538883065013924601;586489;568011;632851;173216;
2024-05-14T12:14:12.582;538883065032084082;586062;567622;632337;173169;
2024-05-14T12:14:12.600;538883065050243563;585780;567254;631965;173104;
2024-05-14T12:14:12.618;538883065068403044;585482;566965;631574;173175;
2024-05-14T12:14:12.636;538883065086562525;585205;566734;631284;173172;
2024-05-14T12:14:12.654;538883065104722006;585099;566592;631185;173108;
2024-05-14T12:14:12.672;538883065122881487;585088;566572;631118;173121;
2024-05-14T12:14:12.691;538883065141040968;585068;566574;631121;173155;
2024-05-14T12:14:12.709;538883065159200449;585091;566716;631318;173180;
2024-05-14T12:14:12.727;538883065177359930;585096;566773;631374;173145;
2024-05-14T12:14:12.745;538883065195519411;585117;566831;631508;173124;
2024-05-14T12:14:12.763;538883065213678892;585236;566996;631577;173159;
2024-05-14T12:14:12.781;538883065231838373;585264;567094;631701;173181;
2024-05-14T12:14:12.800;538883065249997854;585286;567191;631794;173165;
2024-05-14T12:14:12.818;538883065268157335;585275;567197;631923;173133;
2024-05-14T12:14:12.836;538883065286316816;585283;567238;631965;173155;
2024-05-14T12:14:12.854;538883065304476297;585261;567201;631875;173178;
2024-05-14T12:14:12.872;538883065322635778;585039;566990;631570;173162;
2024-05-14T12:14:12.890;538883065340795259;584824;566706;631139;173219;
2024-05-14T12:14:12.909;538883065358954740;584381;566330;630545;173153;
2024-05-14T12:14:12.927;538883065377114221;583953;565943;630032;173139;
2024-05-14T12:14:12.945;538883065395273702;583573;565556;629542;173124;
2024-05-14T12:14:12.963;538883065413433183;583249;565298;629114;173159;
2024-05-14T12:14:12.981;538883065431592664;583040;565024;628838;173239;
2024-05-14T12:14:12.999;538883065449752145;582807;564800;628600;173131;
2024-05-14T12:14:13.017;538883065467911626;582646;564623;628539;173106;
2024-05-14T12:14:13.036;538883065486071107;582572;564627;628489;173105;
2024-05-14T12:14:13.054;538883065504230588;582449;564552;628537;173125;
2024-05-14T12:14:13.072;538883065522390069;582506;564630;628713;173150;
2024-05-14T12:14:13.090;538883065540549550;582608;564732;628827;173157;
2024-05-14T12:14:13.108;538883065558709031;582624;564847;629000;173162;
2024-05-14T12:14:13.126;538883065576868512;582712;564954;629062;173117;
