Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-05-22T19:35:46.295;539600763262491358;342649;351987;266572;-1375;
2024-05-22T19:35:46.313;539600763280651602;342452;351815;266449;-1343;
2024-05-22T19:35:46.331;539600763298811846;342180;351563;266302;-1331;
2024-05-22T19:35:46.349;539600763316972090;341921;351371;266095;-1339;
2024-05-22T19:35:46.367;539600763335132334;341644;351030;265884;-1341;
2024-05-22T19:35:46.385;539600763353292578;341234;350673;265631;-1400;
2024-05-22T19:35:46.403;539600763371452822;340943;350379;265322;-1362;
2024-05-22T19:35:46.422;539600763389613066;340561;350064;265148;-1355;
2024-05-22T19:35:46.440;539600763407773310;340238;349806;264880;-1356;
2024-05-22T19:35:46.458;539600763425933554;339996;349519;264702;-1342;
2024-05-22T19:35:46.476;539600763444093798;339755;349177;264532;-1381;
2024-05-22T19:35:46.494;539600763462254042;339502;349013;264371;-1340;
2024-05-22T19:35:46.512;539600763480414286;339361;348831;264250;-1340;
2024-05-22T19:35:46.531;539600763498574530;339241;348650;264079;-1308;
2024-05-22T19:35:46.549;539600763516734774;339094;348548;264019;-1345;
2024-05-22T19:35:46.567;539600763534895018;338917;348383;263872;-1321;
2024-05-22T19:35:46.585;539600763553055262;338841;348283;263862;-1345;
2024-05-22T19:35:46.603;539600763571215506;338722;348151;263721;-1368;
2024-05-22T19:35:46.621;539600763589375750;338605;348053;263651;-1370;
2024-05-22T19:35:46.640;539600763607535994;338520;347938;263547;-1372;
2024-05-22T19:35:46.658;539600763625696238;338423;347807;263469;-1386;
2024-05-22T19:35:46.676;539600763643856482;338196;347689;263353;-1374;
2024-05-22T19:35:46.694;539600763662016726;338146;347546;263272;-1371;
2024-05-22T19:35:46.712;539600763680176970;338008;347349;263140;-1344;
2024-05-22T19:35:46.730;539600763698337214;337829;347281;263040;-1372;
2024-05-22T19:35:46.749;539600763716497458;337777;347142;262982;-1345;
2024-05-22T19:35:46.767;539600763734657702;337660;346986;262914;-1317;
2024-05-22T19:35:46.785;539600763752817946;337503;346854;262731;-1376;
2024-05-22T19:35:46.803;539600763770978190;337346;346716;262619;-1392;
2024-05-22T19:35:46.821;539600763789138434;337235;346609;262540;-1321;
2024-05-22T19:35:46.839;539600763807298678;337113;346515;262417;-1376;
2024-05-22T19:35:46.857;539600763825458922;337007;346320;262287;-1337;
2024-05-22T19:35:46.876;539600763843619166;336862;346213;262252;-1361;
2024-05-22T19:35:46.894;539600763861779410;336764;346093;262148;-1346;
2024-05-22T19:35:46.912;539600763879939654;336632;345989;262100;-1345;
2024-05-22T19:35:46.930;539600763898099898;336513;345853;262021;-1361;
2024-05-22T19:35:46.948;539600763916260142;336411;345752;261902;-1350;
2024-05-22T19:35:46.966;539600763934420386;336343;345573;261789;-1334;
2024-05-22T19:35:46.985;539600763952580630;336149;345402;261682;-1363;
2024-05-22T19:35:47.003;539600763970740874;335973;345299;261495;-1346;
2024-05-22T19:35:47.021;539600763988901118;335684;345000;261285;-1330;
2024-05-22T19:35:47.039;539600764007061362;335386;344736;261066;-1391;
2024-05-22T19:35:47.057;539600764025221630;335103;344452;260875;-1357;
2024-05-22T19:35:47.075;539600764043381874;334811;344141;260688;-1398;
2024-05-22T19:35:47.094;539600764061542118;334531;343896;260549;-1337;
2024-05-22T19:35:47.112;539600764079702362;334306;343633;260302;-1369;
2024-05-22T19:35:47.130;539600764097862606;334068;343409;260134;-1308;
2024-05-22T19:35:47.148;539600764116022850;333911;343204;259981;-1327;
2024-05-22T19:35:47.166;539600764134183094;333751;343052;259865;-1409;
2024-05-22T19:35:47.184;539600764152343338;333696;342942;259750;-1373;
2024-05-22T19:35:47.203;539600764170503582;333578;342825;259719;-1351;
2024-05-22T19:35:47.221;539600764188663826;333494;342746;259727;-1285;
2024-05-22T19:35:47.239;539600764206824070;333393;342625;259583;-1302;
2024-05-22T19:35:47.257;539600764224984314;333304;342570;259528;-1341;
2024-05-22T19:35:47.275;539600764243144558;333185;342427;259444;-1350;
2024-05-22T19:35:47.293;539600764261304802;333109;342385;259358;-1318;
2024-05-22T19:35:47.311;539600764279465046;333002;342246;259312;-1353;
2024-05-22T19:35:47.330;539600764297625290;332914;342151;259198;-1374;
2024-05-22T19:35:47.348;539600764315785534;332796;342086;259115;-1391;
2024-05-22T19:35:47.366;539600764333945778;332643;341891;258993;-1360;
