Phone timestamp;HR [bpm];HRV [ms];
2024-04-19T14:43:22.259;103;830,8
2024-04-19T14:43:23.250;103;758,4
2024-04-19T14:43:24.251;104;751,8
2024-04-19T14:43:25.279;102;672,5
2024-04-19T14:43:26.249;103;613,9
2024-04-19T14:43:27.229;104;589,8
2024-04-19T14:43:28.252;105;549,1
2024-04-19T14:43:29.259;104;531,7
2024-04-19T14:43:30.237;103;501,3
2024-04-19T14:43:31.264;101;487,9
2024-04-19T14:43:32.240;97;464,2
2024-04-19T14:43:33.252;95;443,5
2024-04-19T14:43:34.271;94;434,2
2024-04-19T14:43:35.249;95;417,2
2024-04-19T14:43:36.237;99;402,1
2024-04-19T14:43:37.276;101;395,1
2024-04-19T14:43:38.257;101;395,0
2024-04-19T14:43:39.277;101;192,7
2024-04-19T14:43:40.255;100;192,7
2024-04-19T14:43:41.310;97;15,4
2024-04-19T14:43:42.250;96;15,4
2024-04-19T14:43:43.297;96;16,0
2024-04-19T14:43:44.249;96;15,6
2024-04-19T14:43:45.237;100;16,1
2024-04-19T14:43:46.270;100;16,1
2024-04-19T14:43:47.248;101;15,6
2024-04-19T14:43:48.248;101;15,1
2024-04-19T14:43:49.263;100;13,8
2024-04-19T14:43:50.239;99;13,8
2024-04-19T14:43:51.253;99;13,6
2024-04-19T14:43:52.257;100;12,7
2024-04-19T14:43:53.251;100;11,0
2024-04-19T14:43:54.234;101;10,8
2024-04-19T14:43:55.269;103;10,8
2024-04-19T14:43:56.263;103;10,8
2024-04-19T14:43:57.252;103;10,1
2024-04-19T14:43:58.257;105;8,3
2024-04-19T14:43:59.249;106;8,3
2024-04-19T14:44:00.237;106;6,8
2024-04-19T14:44:01.263;105;6,8
2024-04-19T14:44:02.258;104;8,8
2024-04-19T14:44:03.241;102;7,9
2024-04-19T14:44:04.252;101;8,0
2024-04-19T14:44:05.259;101;8,0
2024-04-19T14:44:06.252;99;8,1
2024-04-19T14:44:07.275;98;7,9
2024-04-19T14:44:08.248;97;7,9
2024-04-19T14:44:09.234;98;8,6
2024-04-19T14:44:10.271;100;8,8
2024-04-19T14:44:11.261;100;8,8
2024-04-19T14:44:12.240;99;9,9
2024-04-19T14:44:13.252;98;9,6
2024-04-19T14:44:14.262;98;9,6
2024-04-19T14:44:15.252;99;10,2
2024-04-19T14:44:16.288;100;10,1
2024-04-19T14:44:17.245;104;12,1
2024-04-19T14:44:18.250;105;12,1
2024-04-19T14:44:19.272;106;20,1
2024-04-19T14:44:20.265;107;28,1
2024-04-19T14:44:21.230;106;28,3
2024-04-19T14:44:22.252;106;28,3
2024-04-19T14:44:23.262;100;28,3
2024-04-19T14:44:24.253;95;29,1
2024-04-19T14:44:25.251;94;29,7
2024-04-19T14:44:26.252;96;30,8
2024-04-19T14:44:27.249;99;31,2
2024-04-19T14:44:28.260;102;30,9
2024-04-19T14:44:29.262;105;30,9
2024-04-19T14:44:30.241;107;30,6
2024-04-19T14:44:31.290;108;30,6
2024-04-19T14:44:32.252;108;30,6
2024-04-19T14:44:33.253;108;30,4
2024-04-19T14:44:34.271;108;30,0
2024-04-19T14:44:35.251;108;29,7
2024-04-19T14:44:36.256;108;24,9
2024-04-19T14:44:37.260;108;14,2
2024-04-19T14:44:38.262;107;13,6
2024-04-19T14:44:39.248;107;13,6
2024-04-19T14:44:40.257;107;12,5
2024-04-19T14:44:41.249;107;10,1
2024-04-19T14:44:42.254;107;5,7
2024-04-19T14:44:43.275;108;3,4
2024-04-19T14:44:44.253;108;2,7
2024-04-19T14:44:45.230;109;2,4
2024-04-19T14:44:46.270;110;2,5
2024-04-19T14:44:47.256;111;2,5
2024-04-19T14:44:48.236;111;2,6
2024-04-19T14:44:49.279;112;2,2
2024-04-19T14:44:50.257;114;3,0
2024-04-19T14:44:51.247;114;3,0
2024-04-19T14:44:52.255;115;3,0
2024-04-19T14:44:53.242;116;5,0
2024-04-19T14:44:54.230;116;10,1
2024-04-19T14:44:55.270;116;10,1
2024-04-19T14:44:56.248;114;12,1
