Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-19T14:45:21.720;536732118139596100;36047;-46692;-140098;-477927;
2024-04-19T14:45:21.738;536732118157759382;36631;-46283;-139831;-477895;
2024-04-19T14:45:21.757;536732118175922664;37052;-46025;-139598;-477911;
2024-04-19T14:45:21.775;536732118194085946;37422;-45766;-139415;-477918;
2024-04-19T14:45:21.793;536732118212249228;37805;-45494;-139212;-477895;
2024-04-19T14:45:21.811;536732118230412510;38068;-45330;-138979;-477910;
2024-04-19T14:45:21.829;536732118248575792;38300;-45089;-138791;-477974;
2024-04-19T14:45:21.847;536732118266739074;38631;-44831;-138607;-477962;
2024-04-19T14:45:21.866;536732118284902356;38902;-44583;-138357;-477920;
2024-04-19T14:45:21.884;536732118303065638;39149;-44388;-138158;-477932;
2024-04-19T14:45:21.902;536732118321228920;39410;-44165;-137977;-477872;
2024-04-19T14:45:21.920;536732118339392202;39620;-43915;-137716;-477964;
2024-04-19T14:45:21.938;536732118357555484;39819;-43692;-137564;-478028;
2024-04-19T14:45:21.956;536732118375718766;40109;-43334;-137359;-477982;
2024-04-19T14:45:21.975;536732118393882048;40354;-43047;-137119;-477966;
2024-04-19T14:45:21.993;536732118412045330;40574;-42668;-136873;-478026;
2024-04-19T14:45:22.011;536732118430208612;40905;-42396;-136633;-478016;
2024-04-19T14:45:22.029;536732118448371894;41216;-42020;-136411;-477969;
2024-04-19T14:45:22.047;536732118466535176;41501;-41731;-136057;-477982;
2024-04-19T14:45:22.065;536732118484698458;41832;-41438;-135777;-478000;
2024-04-19T14:45:22.083;536732118502860837;42059;-41101;-135571;-477995;
2024-04-19T14:45:22.102;536732118521023188;42381;-40809;-135221;-477976;
2024-04-19T14:45:22.120;536732118539185539;42770;-40468;-134942;-477913;
2024-04-19T14:45:22.138;536732118557347890;43090;-40176;-134692;-477928;
2024-04-19T14:45:22.156;536732118575510241;43415;-39789;-134388;-477948;
2024-04-19T14:45:22.174;536732118593672592;43772;-39521;-134098;-477947;
