Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2024-04-19T14:43:14.754;536731991150449495;158776;232576;120654;-172194;
2024-04-19T14:43:14.772;536731991168614702;159101;233625;120907;-172210;
2024-04-19T14:43:14.790;536731991186779909;159230;233646;120922;-172243;
2024-04-19T14:43:14.808;536731991204945116;159575;234589;121708;-172270;
2024-04-19T14:43:14.826;536731991223110323;160404;237145;123698;-172202;
2024-04-19T14:43:14.844;536731991241275530;161194;239231;125485;-172199;
2024-04-19T14:43:14.862;536731991259440737;162091;241032;127617;-172202;
2024-04-19T14:43:14.881;536731991277605944;162580;241708;129016;-172184;
2024-04-19T14:43:14.899;536731991295771151;162617;241724;129454;-172150;
2024-04-19T14:43:14.917;536731991313936358;162768;241593;129724;-172133;
2024-04-19T14:43:14.935;536731991332101565;162788;241660;129911;-172194;
2024-04-19T14:43:14.953;536731991350266772;162822;241906;130195;-172204;
2024-04-19T14:43:14.971;536731991368431979;163225;243297;131352;-172133;
2024-04-19T14:43:14.990;536731991386597186;163104;243070;131151;-172087;
2024-04-19T14:43:15.008;536731991404762393;162435;241676;130207;-172176;
2024-04-19T14:43:15.026;536731991422927600;161544;239373;128652;-172183;
2024-04-19T14:43:15.044;536731991441092807;160317;236270;126411;-172193;
2024-04-19T14:43:15.062;536731991459258014;159787;235092;125445;-172279;
2024-04-19T14:43:15.080;536731991477423221;159808;235178;125642;-172184;
2024-04-19T14:43:15.099;536731991495588428;160003;235761;126134;-172157;
2024-04-19T14:43:15.117;536731991513753635;160224;236883;126490;-172159;
2024-04-19T14:43:15.135;536731991531918842;160484;238011;126752;-172121;
2024-04-19T14:43:15.153;536731991550084049;160593;238645;126806;-172216;
2024-04-19T14:43:15.171;536731991568249256;160736;239021;126746;-172208;
2024-04-19T14:43:15.189;536731991586414463;160616;238844;126502;-172234;
2024-04-19T14:43:15.208;536731991604579670;160752;239040;126650;-172223;
2024-04-19T14:43:15.226;536731991622744877;160909;239585;127044;-172217;
2024-04-19T14:43:15.244;536731991640910084;160879;239708;127026;-172220;
2024-04-19T14:43:15.262;536731991659075319;160714;239241;126752;-172235;
2024-04-19T14:43:15.280;536731991677240526;160207;237797;125919;-172215;
2024-04-19T14:43:15.298;536731991695405733;159831;236436;125244;-172215;
2024-04-19T14:43:15.317;536731991713570940;159424;235320;124618;-172227;
2024-04-19T14:43:15.335;536731991731736147;159434;235219;124414;-172277;
2024-04-19T14:43:15.353;536731991749901354;159558;235705;124588;-172175;
2024-04-19T14:43:15.371;536731991768066561;159452;235709;124620;-172251;
2024-04-19T14:43:15.389;536731991786231768;159536;235999;125138;-172224;
2024-04-19T14:43:15.407;536731991804396975;159594;236396;125964;-172191;
2024-04-19T14:43:15.426;536731991822562182;159736;236919;126533;-172189;
2024-04-19T14:43:15.444;536731991840727389;160055;237980;127382;-172170;
2024-04-19T14:43:15.462;536731991858892596;160639;239733;128414;-172129;
2024-04-19T14:43:15.480;536731991877057803;161207;241487;129403;-172180;
2024-04-19T14:43:15.498;536731991895223010;161771;243107;130127;-172146;
2024-04-19T14:43:15.516;536731991913388217;162459;245079;131179;-172157;
2024-04-19T14:43:15.535;536731991931553424;163297;247318;132512;-172065;
2024-04-19T14:43:15.553;536731991949718631;163858;249033;133255;-172025;
2024-04-19T14:43:15.571;536731991967883838;164723;251800;134905;-172022;
2024-04-19T14:43:15.589;536731991986049045;165566;254263;136557;-171995;
2024-04-19T14:43:15.607;536731992004214252;166420;256588;138006;-171959;
2024-04-19T14:43:15.625;536731992022379459;166884;258566;139045;-171932;
2024-04-19T14:43:15.644;536731992040544666;167538;260880;140560;-171939;
2024-04-19T14:43:15.662;536731992058709873;168206;262919;142059;-171847;
2024-04-19T14:43:15.680;536731992076875080;168850;264458;143908;-171864;
2024-04-19T14:43:15.698;536731992095040287;170338;268371;147423;-171876;
2024-04-19T14:43:15.716;536731992113205494;172878;273462;151672;-171761;
2024-04-19T14:43:15.734;536731992131370701;175823;279234;156623;-171624;
2024-04-19T14:43:15.753;536731992149535908;178295;284449;160958;-171657;
