Phone timestamp;HR [bpm];HRV [ms];
2024-05-25T22:58:13.936;115
2024-05-25T22:58:14.930;116
2024-05-25T22:58:15.948;116;1,8
2024-05-25T22:58:16.941;117;1,9
2024-05-25T22:58:17.949;117;2,0
2024-05-25T22:58:18.964;118;1,9
2024-05-25T22:58:19.944;118;1,7
2024-05-25T22:58:20.934;118;1,8
2024-05-25T22:58:21.969;117;3,4
2024-05-25T22:58:22.958;116;3,3
2024-05-25T22:58:23.938;115;3,3
2024-05-25T22:58:24.947;115;3,2
2024-05-25T22:58:25.958;115;3,0
2024-05-25T22:58:26.948;116;3,0
2024-05-25T22:58:27.958;116;2,9
2024-05-25T22:58:28.947;116;2,8
2024-05-25T22:58:29.950;116;2,8
2024-05-25T22:58:30.973;116;2,8
2024-05-25T22:58:31.955;116;2,8
2024-05-25T22:58:32.931;115;2,7
2024-05-25T22:58:33.951;115;2,7
2024-05-25T22:58:34.959;115;2,7
2024-05-25T22:58:35.938;114;2,7
2024-05-25T22:58:36.964;113;2,4
2024-05-25T22:58:37.944;113;2,2
2024-05-25T22:58:38.949;112;2,3
2024-05-25T22:58:39.962;111;2,2
2024-05-25T22:58:40.960;112;2,2
2024-05-25T22:58:41.928;112;2,4
2024-05-25T22:58:42.985;112;2,4
2024-05-25T22:58:43.979;113;2,4
2024-05-25T22:58:44.935;113;2,6
2024-05-25T22:58:45.952;114;2,6
2024-05-25T22:58:46.943;115;2,6
2024-05-25T22:58:47.937;115;2,6
2024-05-25T22:58:48.969;115;2,7
2024-05-25T22:58:49.940;115;2,7
2024-05-25T22:58:50.940;115;2,7
2024-05-25T22:58:51.958;115;2,1
2024-05-25T22:58:52.960;115;2,0
2024-05-25T22:58:53.932;114;1,9
2024-05-25T22:58:54.972;114;1,9
2024-05-25T22:58:55.948;114;1,9
2024-05-25T22:58:56.927;114;1,6
2024-05-25T22:58:57.947;113;1,8
2024-05-25T22:58:58.959;112;1,8
2024-05-25T22:58:59.938;113;3,1
2024-05-25T22:59:00.959;114;3,2
2024-05-25T22:59:01.940;115;3,3
2024-05-25T22:59:02.948;115;3,3
2024-05-25T22:59:03.953;114;3,3
2024-05-25T22:59:04.949;114;3,4
2024-05-25T22:59:05.932;114;3,3
2024-05-25T22:59:06.968;114;3,3
2024-05-25T22:59:07.957;114;3,3
2024-05-25T22:59:08.939;114;3,4
2024-05-25T22:59:09.951;113;3,4
2024-05-25T22:59:10.940;113;3,5
2024-05-25T22:59:11.949;114;3,7
2024-05-25T22:59:12.961;114;3,6
2024-05-25T22:59:13.946;115;3,6
2024-05-25T22:59:14.927;114;2,3
2024-05-25T22:59:15.999;114;3,0
2024-05-25T22:59:16.974;113;3,1
2024-05-25T22:59:17.937;112;3,0
2024-05-25T22:59:18.957;111;2,9
2024-05-25T22:59:19.940;111;3,0
2024-05-25T22:59:20.936;111;3,0
2024-05-25T22:59:21.969;110;3,2
2024-05-25T22:59:22.946;110;3,2
2024-05-25T22:59:23.938;109;3,4
2024-05-25T22:59:24.959;108;3,3
2024-05-25T22:59:25.960;108;3,3
2024-05-25T22:59:26.949;107;3,3
2024-05-25T22:59:27.959;107;3,3
2024-05-25T22:59:28.938;108;3,5
2024-05-25T22:59:29.950;109;3,5
2024-05-25T22:59:30.952;110;3,7
2024-05-25T22:59:31.960;110;3,0
2024-05-25T22:59:32.941;111;2,9
2024-05-25T22:59:33.968;111;2,9
2024-05-25T22:59:34.946;111;2,9
2024-05-25T22:59:35.949;111;2,9
2024-05-25T22:59:36.959;112;3,0
2024-05-25T22:59:37.942;112;2,8
