Phone timestamp;HR [bpm];HRV [ms];
2024-05-20T22:21:53.557;99
2024-05-20T22:21:54.549;99
2024-05-20T22:21:55.555;100;5,0
2024-05-20T22:21:56.556;102;6,4
2024-05-20T22:21:57.554;102;6,0
2024-05-20T22:21:58.542;103;5,3
2024-05-20T22:21:59.575;105;5,9
2024-05-20T22:22:00.545;106;5,4
2024-05-20T22:22:01.555;106;5,7
2024-05-20T22:22:02.594;105;6,3
2024-05-20T22:22:03.543;103;6,3
2024-05-20T22:22:04.557;102;6,7
2024-05-20T22:22:05.575;101;6,4
2024-05-20T22:22:06.565;101;6,1
2024-05-20T22:22:07.533;100;6,0
2024-05-20T22:22:08.576;100;5,8
2024-05-20T22:22:09.565;100;5,7
2024-05-20T22:22:10.556;99;5,6
2024-05-20T22:22:11.564;99;5,6
2024-05-20T22:22:12.546;98;5,5
2024-05-20T22:22:13.572;99;5,1
2024-05-20T22:22:14.575;99;5,1
2024-05-20T22:22:15.554;98;5,1
2024-05-20T22:22:16.536;98;5,4
2024-05-20T22:22:17.575;98;5,3
2024-05-20T22:22:18.564;97;5,3
2024-05-20T22:22:19.545;97;4,4
2024-05-20T22:22:20.561;97;4,3
2024-05-20T22:22:21.566;98;4,2
2024-05-20T22:22:22.558;99;4,2
2024-05-20T22:22:23.565;99;4,1
2024-05-20T22:22:24.554;99;4,1
2024-05-20T22:22:25.544;100;4,2
2024-05-20T22:22:26.554;100;4,2
2024-05-20T22:22:27.555;99;4,2
2024-05-20T22:22:28.558;99;4,3
2024-05-20T22:22:29.575;98;4,6
2024-05-20T22:22:30.545;97;4,9
2024-05-20T22:22:31.545;96;5,0
2024-05-20T22:22:32.576;94;6,1
2024-05-20T22:22:33.564;94;6,1
2024-05-20T22:22:34.545;93;6,0
2024-05-20T22:22:35.589;94;6,2
2024-05-20T22:22:36.564;95;7,7
2024-05-20T22:22:37.556;96;7,6
2024-05-20T22:22:38.562;95;10,0
2024-05-20T22:22:39.548;94;10,1
2024-05-20T22:22:40.554;93;10,3
2024-05-20T22:22:41.555;92;10,5
2024-05-20T22:22:42.564;92;10,6
2024-05-20T22:22:43.545;93;10,8
2024-05-20T22:22:44.555;94;11,1
2024-05-20T22:22:45.545;95;11,0
2024-05-20T22:22:46.554;95;10,9
2024-05-20T22:22:47.575;95;11,0
2024-05-20T22:22:48.551;95;11,3
2024-05-20T22:22:49.557;92;13,5
2024-05-20T22:22:50.577;91;13,5
2024-05-20T22:22:51.566;90;13,0
2024-05-20T22:22:52.545;90;13,8
2024-05-20T22:22:53.557;91;13,9
2024-05-20T22:22:54.564;91;13,8
2024-05-20T22:22:55.547;92;13,2
2024-05-20T22:22:56.562;92;13,2
2024-05-20T22:22:57.544;90;12,9
2024-05-20T22:22:58.554;90;12,9
2024-05-20T22:22:59.576;89;12,7
2024-05-20T22:23:00.552;90;15,3
2024-05-20T22:23:01.547;91;15,2
2024-05-20T22:23:02.554;93;15,0
2024-05-20T22:23:03.565;94;15,0
2024-05-20T22:23:04.535;94;15,0
2024-05-20T22:23:05.575;93;16,5
2024-05-20T22:23:06.582;91;16,8
2024-05-20T22:23:07.534;90;16,4
2024-05-20T22:23:08.609;89;14,5
2024-05-20T22:23:09.545;90;15,0
2024-05-20T22:23:10.555;90;15,2
2024-05-20T22:23:11.556;90;15,2
2024-05-20T22:23:12.552;91;14,2
2024-05-20T22:23:13.556;91;14,2
2024-05-20T22:23:14.577;91;14,1
2024-05-20T22:23:15.553;92;14,1
2024-05-20T22:23:16.537;92;12,8
2024-05-20T22:23:17.576;93;12,9
2024-05-20T22:23:18.564;93;12,8
2024-05-20T22:23:19.542;94;9,5
2024-05-20T22:23:20.565;94;9,4
2024-05-20T22:23:21.548;94;9,6
2024-05-20T22:23:22.554;94;9,6
2024-05-20T22:23:23.576;94;9,7
2024-05-20T22:23:24.555;93;7,2
2024-05-20T22:23:25.533;94;7,3
2024-05-20T22:23:26.575;93;7,6
2024-05-20T22:23:27.566;93;8,0
2024-05-20T22:23:28.543;93;6,9
