Phone timestamp;HR [bpm];HRV [ms];
2024-05-18T15:14:45.547;72
2024-05-18T15:14:46.539;72
2024-05-18T15:14:47.532;72
2024-05-18T15:14:48.563;73
2024-05-18T15:14:49.554;73;4,0
2024-05-18T15:14:50.536;73;3,7
2024-05-18T15:14:51.550;73;3,7
2024-05-18T15:14:52.554;73;13,2
2024-05-18T15:14:53.580;73;14,0
2024-05-18T15:14:54.556;73;13,4
2024-05-18T15:14:55.545;72;12,2
2024-05-18T15:14:56.550;72;11,8
2024-05-18T15:14:57.566;72;11,8
2024-05-18T15:14:58.557;73;17,9
2024-05-18T15:14:59.534;73;17,4
2024-05-18T15:15:00.553;73;16,9
2024-05-18T15:15:01.568;73;18,5
2024-05-18T15:15:02.546;73;22,5
2024-05-18T15:15:03.554;72;22,9
2024-05-18T15:15:04.548;71;21,9
2024-05-18T15:15:05.534;71;21,6
2024-05-18T15:15:06.568;71;22,6
2024-05-18T15:15:07.541;73;28,5
2024-05-18T15:15:08.547;75;28,0
2024-05-18T15:15:09.553;76;27,5
2024-05-18T15:15:10.547;77;27,5
2024-05-18T15:15:11.532;76;29,9
2024-05-18T15:15:12.556;76;30,5
2024-05-18T15:15:13.547;75;30,5
2024-05-18T15:15:14.526;75;30,5
2024-05-18T15:15:15.569;75;30,7
2024-05-18T15:15:16.558;76;30,5
2024-05-18T15:15:17.551;76;30,5
2024-05-18T15:15:18.555;76;30,9
2024-05-18T15:15:19.556;75;30,9
2024-05-18T15:15:20.547;75;30,9
2024-05-18T15:15:21.566;75;30,7
2024-05-18T15:15:22.560;76;29,9
2024-05-18T15:15:23.528;76;29,9
2024-05-18T15:15:24.556;77;29,1
2024-05-18T15:15:25.560;76;27,6
2024-05-18T15:15:26.578;76;27,0
2024-05-18T15:15:27.554;76;27,5
2024-05-18T15:15:28.543;77;27,3
2024-05-18T15:15:29.548;77;21,4
2024-05-18T15:15:30.568;77;19,5
2024-05-18T15:15:31.546;78;19,5
2024-05-18T15:15:32.527;78;19,5
2024-05-18T15:15:33.571;78;19,5
2024-05-18T15:15:34.558;77;23,9
2024-05-18T15:15:35.538;76;27,3
2024-05-18T15:15:36.555;75;26,7
2024-05-18T15:15:37.539;73;26,9
2024-05-18T15:15:38.535;72;26,8
2024-05-18T15:15:39.568;72;26,0
2024-05-18T15:15:40.546;72;26,9
2024-05-18T15:15:41.536;72;26,9
2024-05-18T15:15:42.561;72;26,5
2024-05-18T15:15:43.557;72;26,5
2024-05-18T15:15:44.535;72;26,7
2024-05-18T15:15:45.558;71;27,0
2024-05-18T15:15:46.537;70;28,1
2024-05-18T15:15:47.530;70;27,4
2024-05-18T15:15:48.547;69;27,4
2024-05-18T15:15:49.559;69;26,9
2024-05-18T15:15:50.537;69;27,2
2024-05-18T15:15:51.559;69;27,4
2024-05-18T15:15:52.536;70;27,5
2024-05-18T15:15:53.548;70;27,5
2024-05-18T15:15:54.550;70;27,5
2024-05-18T15:15:55.545;70;28,6
2024-05-18T15:15:56.546;70;28,6
2024-05-18T15:15:57.567;69;29,2
2024-05-18T15:15:58.556;69;29,7
2024-05-18T15:15:59.570;68;25,5
2024-05-18T15:16:00.569;68;19,9
2024-05-18T15:16:01.557;68;20,3
2024-05-18T15:16:02.547;68;21,3
2024-05-18T15:16:03.567;69;21,2
2024-05-18T15:16:04.546;69;21,1
2024-05-18T15:16:05.538;69;19,9
2024-05-18T15:16:06.566;69;20,2
2024-05-18T15:16:07.557;68;20,2
2024-05-18T15:16:08.535;68;20,1
2024-05-18T15:16:09.549;68;20,1
2024-05-18T15:16:10.558;68;19,9
2024-05-18T15:16:11.577;68;19,4
2024-05-18T15:16:12.554;68;17,5
2024-05-18T15:16:13.542;68;17,6
