Phone timestamp;HR [bpm];HRV [ms];
2024-05-22T19:43:19.459;102
2024-05-22T19:43:20.447;103
2024-05-22T19:43:21.446;104;7,4
2024-05-22T19:43:22.477;103;6,0
2024-05-22T19:43:23.453;103;5,6
2024-05-22T19:43:24.444;104;5,0
2024-05-22T19:43:25.456;105;4,6
2024-05-22T19:43:26.467;106;4,6
2024-05-22T19:43:27.454;106;4,4
2024-05-22T19:43:28.477;106;4,1
2024-05-22T19:43:29.447;107;3,9
2024-05-22T19:43:30.445;107;3,8
2024-05-22T19:43:31.477;107;3,6
2024-05-22T19:43:32.467;107;3,5
2024-05-22T19:43:33.443;107;3,4
2024-05-22T19:43:34.465;106;3,6
2024-05-22T19:43:35.470;106;3,6
2024-05-22T19:43:36.455;106;3,1
2024-05-22T19:43:37.462;107;3,2
2024-05-22T19:43:38.453;107;3,1
2024-05-22T19:43:39.455;107;3,2
2024-05-22T19:43:40.475;107;3,3
2024-05-22T19:43:41.489;106;4,0
2024-05-22T19:43:42.445;104;4,2
2024-05-22T19:43:43.456;103;4,2
2024-05-22T19:43:44.462;103;4,3
2024-05-22T19:43:45.456;103;4,4
2024-05-22T19:43:46.473;103;4,5
2024-05-22T19:43:47.457;104;4,5
2024-05-22T19:43:48.450;104;4,4
2024-05-22T19:43:49.488;104;4,4
2024-05-22T19:43:50.447;104;4,6
2024-05-22T19:43:51.445;102;4,4
2024-05-22T19:43:52.461;96;13,7
2024-05-22T19:43:53.467;87;20,7
2024-05-22T19:43:54.449;86;20,7
2024-05-22T19:43:55.478;86;20,7
2024-05-22T19:43:56.453;86;22,0
2024-05-22T19:43:57.488;87;22,4
2024-05-22T19:43:58.462;91;23,5
2024-05-22T19:43:59.468;95;24,1
2024-05-22T19:44:00.450;98;24,1
2024-05-22T19:44:01.463;99;24,2
2024-05-22T19:44:02.467;99;24,4
2024-05-22T19:44:03.455;99;24,3
2024-05-22T19:44:04.464;98;24,3
2024-05-22T19:44:05.454;98;24,4
2024-05-22T19:44:06.460;96;24,5
2024-05-22T19:44:07.461;95;25,6
2024-05-22T19:44:08.467;94;25,6
2024-05-22T19:44:09.446;92;26,0
2024-05-22T19:44:10.463;84;29,0
2024-05-22T19:44:11.447;83;25,9
2024-05-22T19:44:12.466;82;20,7
2024-05-22T19:44:13.479;82;21,3
2024-05-22T19:44:14.455;82;22,3
2024-05-22T19:44:15.437;83;21,5
2024-05-22T19:44:16.479;85;22,2
2024-05-22T19:44:17.466;86;21,8
2024-05-22T19:44:18.449;88;20,1
2024-05-22T19:44:19.468;90;20,2
2024-05-22T19:44:20.468;91;20,2
2024-05-22T19:44:21.448;94;20,1
2024-05-22T19:44:22.487;95;20,1
2024-05-22T19:44:23.456;97;20,1
2024-05-22T19:44:24.438;96;20,5
2024-05-22T19:44:25.478;96;20,5
2024-05-22T19:44:26.471;95;19,1
2024-05-22T19:44:27.438;94;19,1
2024-05-22T19:44:28.464;94;14,1
2024-05-22T19:44:29.457;95;13,4
2024-05-22T19:44:30.458;94;13,4
2024-05-22T19:44:31.457;94;13,3
2024-05-22T19:44:32.454;94;11,0
2024-05-22T19:44:33.439;93;10,9
2024-05-22T19:44:34.467;91;8,8
2024-05-22T19:44:35.447;91;8,6
2024-05-22T19:44:36.457;90;8,5
2024-05-22T19:44:37.465;90;8,6
2024-05-22T19:44:38.456;90;9,3
2024-05-22T19:44:39.458;91;9,3
2024-05-22T19:44:40.478;92;9,0
2024-05-22T19:44:41.456;92;8,9
2024-05-22T19:44:42.444;92;8,9
