Phone timestamp;HR [bpm];HRV [ms];
2024-05-16T23:16:59.301;117
2024-05-16T23:17:00.293;117
2024-05-16T23:17:01.358;118;1,6
2024-05-16T23:17:02.346;118;1,7
2024-05-16T23:17:03.326;119;1,6
2024-05-16T23:17:04.318;119;1,4
2024-05-16T23:17:05.303;119;1,4
2024-05-16T23:17:06.299;120;1,3
2024-05-16T23:17:07.319;120;1,6
2024-05-16T23:17:08.307;121;2,6
2024-05-16T23:17:09.300;123;2,5
2024-05-16T23:17:10.330;124;2,5
2024-05-16T23:17:11.311;125;2,4
2024-05-16T23:17:12.300;124;2,7
2024-05-16T23:17:13.314;124;2,7
2024-05-16T23:17:14.320;123;2,9
2024-05-16T23:17:15.314;122;2,9
2024-05-16T23:17:16.321;122;3,0
2024-05-16T23:17:17.302;122;3,0
2024-05-16T23:17:18.315;123;3,1
2024-05-16T23:17:19.317;122;3,1
2024-05-16T23:17:20.308;122;3,1
2024-05-16T23:17:21.288;121;3,1
2024-05-16T23:17:22.308;121;3,0
2024-05-16T23:17:23.320;120;2,6
2024-05-16T23:17:24.312;119;2,6
2024-05-16T23:17:25.316;118;2,9
2024-05-16T23:17:26.307;116;3,7
2024-05-16T23:17:27.311;114;3,4
2024-05-16T23:17:28.316;115;3,9
2024-05-16T23:17:29.349;115;3,9
2024-05-16T23:17:30.299;115;3,9
2024-05-16T23:17:31.315;116;3,7
2024-05-16T23:17:32.311;116;3,7
2024-05-16T23:17:33.310;116;3,7
2024-05-16T23:17:34.323;117;3,6
2024-05-16T23:17:35.339;116;3,7
2024-05-16T23:17:36.328;115;4,4
2024-05-16T23:17:37.331;113;4,4
2024-05-16T23:17:38.320;112;5,0
2024-05-16T23:17:39.303;110;4,9
2024-05-16T23:17:40.310;109;5,0
2024-05-16T23:17:41.303;108;5,0
2024-05-16T23:17:42.314;108;4,5
2024-05-16T23:17:43.328;109;5,3
2024-05-16T23:17:44.311;109;4,9
2024-05-16T23:17:45.293;110;4,9
2024-05-16T23:17:46.330;111;4,9
2024-05-16T23:17:47.320;110;5,1
2024-05-16T23:17:48.300;110;5,1
2024-05-16T23:17:49.320;109;5,9
2024-05-16T23:17:50.323;107;5,9
2024-05-16T23:17:51.300;107;6,2
2024-05-16T23:17:52.331;108;5,7
2024-05-16T23:17:53.303;108;5,7
2024-05-16T23:17:54.310;109;5,3
2024-05-16T23:17:55.331;109;5,2
2024-05-16T23:17:56.324;108;5,6
2024-05-16T23:17:57.289;108;5,6
2024-05-16T23:17:58.320;106;6,3
2024-05-16T23:17:59.322;104;5,6
2024-05-16T23:18:00.328;104;6,2
2024-05-16T23:18:01.325;103;7,9
2024-05-16T23:18:02.314;104;8,2
2024-05-16T23:18:03.291;105;8,2
2024-05-16T23:18:04.331;106;8,0
2024-05-16T23:18:05.302;107;7,5
2024-05-16T23:18:06.310;107;7,5
2024-05-16T23:18:07.316;108;7,4
2024-05-16T23:18:08.340;108;7,4
2024-05-16T23:18:09.339;107;7,4
2024-05-16T23:18:10.332;107;7,3
2024-05-16T23:18:11.309;107;7,3
2024-05-16T23:18:12.290;107;7,1
2024-05-16T23:18:13.323;108;7,3
2024-05-16T23:18:14.323;108;6,7
2024-05-16T23:18:15.341;110;7,1
2024-05-16T23:18:16.322;111;6,6
2024-05-16T23:18:17.320;111;4,3
