Phone timestamp;HR [bpm];HRV [ms];
2024-05-18T15:09:01.537;71
2024-05-18T15:09:02.524;71
2024-05-18T15:09:03.564;71
2024-05-18T15:09:04.543;71
2024-05-18T15:09:05.534;72;47,9
2024-05-18T15:09:06.551;75;44,4
2024-05-18T15:09:07.558;78;38,5
2024-05-18T15:09:08.545;79;36,3
2024-05-18T15:09:09.553;80;34,6
2024-05-18T15:09:10.554;81;31,6
2024-05-18T15:09:11.524;81;30,5
2024-05-18T15:09:12.566;81;29,4
2024-05-18T15:09:13.539;81;28,1
2024-05-18T15:09:14.545;81;27,3
2024-05-18T15:09:15.551;81;25,9
2024-05-18T15:09:16.560;82;25,2
2024-05-18T15:09:17.527;84;26,2
2024-05-18T15:09:18.563;86;25,6
2024-05-18T15:09:19.545;86;25,1
2024-05-18T15:09:20.532;85;28,0
2024-05-18T15:09:21.565;84;27,8
2024-05-18T15:09:22.566;83;27,3
2024-05-18T15:09:23.582;82;26,8
2024-05-18T15:09:24.559;82;26,8
2024-05-18T15:09:25.545;83;29,1
2024-05-18T15:09:26.543;83;21,3
2024-05-18T15:09:27.563;84;21,0
2024-05-18T15:09:28.544;83;21,5
2024-05-18T15:09:29.525;83;22,3
2024-05-18T15:09:30.568;81;24,5
2024-05-18T15:09:31.553;80;24,5
2024-05-18T15:09:32.530;79;24,5
2024-05-18T15:09:33.555;78;24,4
2024-05-18T15:09:34.535;78;24,0
2024-05-18T15:09:35.543;77;24,1
2024-05-18T15:09:36.547;77;24,1
2024-05-18T15:09:37.543;77;24,1
2024-05-18T15:09:38.529;77;24,0
2024-05-18T15:09:39.563;76;23,4
2024-05-18T15:09:40.554;76;22,6
2024-05-18T15:09:41.533;76;22,7
2024-05-18T15:09:42.555;75;22,7
2024-05-18T15:09:43.535;75;18,2
2024-05-18T15:09:44.545;75;17,9
2024-05-18T15:09:45.553;75;17,8
2024-05-18T15:09:46.555;74;17,8
2024-05-18T15:09:47.538;74;17,8
2024-05-18T15:09:48.554;74;15,9
2024-05-18T15:09:49.553;74;13,9
2024-05-18T15:09:50.546;74;13,9
2024-05-18T15:09:51.564;74;13,9
2024-05-18T15:09:52.539;74;11,9
2024-05-18T15:09:53.545;74;8,0
2024-05-18T15:09:54.546;74;6,0
2024-05-18T15:09:55.588;74;6,0
2024-05-18T15:09:56.562;74;6,0
2024-05-18T15:09:57.549;74;6,0
2024-05-18T15:09:58.540;73;6,1
2024-05-18T15:09:59.545;72;14,1
2024-05-18T15:10:00.563;71;14,1
2024-05-18T15:10:01.543;70;14,0
2024-05-18T15:10:02.546;70;14,0
2024-05-18T15:10:03.566;70;14,1
2024-05-18T15:10:04.558;70;13,7
2024-05-18T15:10:05.532;70;15,3
2024-05-18T15:10:06.553;70;15,3
2024-05-18T15:10:07.542;70;15,3
2024-05-18T15:10:08.543;71;15,3
2024-05-18T15:10:09.564;71;15,4
2024-05-18T15:10:10.541;71;15,4
2024-05-18T15:10:11.544;70;17,9
2024-05-18T15:10:12.566;70;17,9
2024-05-18T15:10:13.561;69;18,0
2024-05-18T15:10:14.533;69;18,0
2024-05-18T15:10:15.545;69;18,1
2024-05-18T15:10:16.553;69;18,1
2024-05-18T15:10:17.566;69;18,3
2024-05-18T15:10:18.583;69;18,2
2024-05-18T15:10:19.544;69;18,3
2024-05-18T15:10:20.548;69;18,3
2024-05-18T15:10:21.554;69;18,3
2024-05-18T15:10:22.554;69;18,3
2024-05-18T15:10:23.532;69;18,2
2024-05-18T15:10:24.553;69;18,1
2024-05-18T15:10:25.545;69;13,2
2024-05-18T15:10:26.546;69;13,3
2024-05-18T15:10:27.565;68;13,3
2024-05-18T15:10:28.572;68;13,2
2024-05-18T15:10:29.579;68;14,3
2024-05-18T15:10:30.552;69;12,9
